"Model_Number","Estimated_Beta_Yes","Estimated_Beta_No","Estimated_Beta_Intercept","Estimated_Beta_Yes_2","Estimated_Beta_No_2"
1,"-0.321520869427808","0.840476417203779","-5.85814269431346",-6.17966356374127,-5.01766627710968
2,"0.181770850217678","0.337184697558297","-5.49671229057271",-5.31494144035503,-5.15952759301441
3,"-0.33350025021485","0.337184697558295","-5.49671229057271",-5.83021254078756,-5.15952759301442
4,"-0.497251667503884","0.500936114847329","-5.40815544516538",-5.90540711266926,-4.90721933031805
5,"-0.541181401967102","0.500936114847329","-5.40815544516538",-5.94933684713248,-4.90721933031805
6,"-0.487734172790777","0.447488885671005","-5.14398403603085",-5.63171820882163,-4.69649515035985
7,"-0.37939450726476","0.447488885671004","-5.14398403603085",-5.52337854329561,-4.69649515035985
8,"-0.313506372821348","0.38160075122759","-5.03917286500732",-5.35267923782867,-4.65757211377973
9,"-0.210440437351076","0.38160075122759","-5.03917286500732",-5.2496133023584,-4.65757211377973
10,"-0.361611204823201","0.532771518699715","-4.93991002813512",-5.30152123295832,-4.40713850943541
11,"-0.528149862930897","0.532771518699717","-4.93991002813512",-5.46805989106602,-4.4071385094354
12,"-0.538551400990371","0.543173056759192","-4.82273583045791",-5.36128723144828,-4.27956277369872
13,"-1.31698671480823","0.543173056759193","-4.82273583045791",-6.13972254526614,-4.27956277369872
14,"-1.63914122689648","0.865327568847442","-4.69927772635703",-6.33841895325351,-3.83395015750959
15,"-2.64391892597092","0.865327568847444","-4.69927772635703",-7.34319665232795,-3.83395015750959
16,"-2.75019870041854","0.971607343295069","-4.56577683515727",-7.31597553557581,-3.5941694918622
17,"-2.7694233008545","0.969339799356934","-4.42290289165235",-7.19232619250685,-3.45356309229542
18,"-2.72918148676747","0.910209457926834","-4.32490967067457",-7.05409115744204,-3.41470021274774
19,"-2.43533019282307","0.848202812991929","-4.21276421099834",-6.64809440382141,-3.36456139800641
20,"-2.55353675833361","0.87097663236882","-4.20240566456679",-6.7559424229004,-3.33142903219797
21,"-2.31555667341779","0.644748274474854","-4.02508792057789",-6.34064459399568,-3.38033964610304
22,"-2.37654870862482","0.653228795879946","-4.00783373129252",-6.38438243991734,-3.35460493541257
23,"-2.39916723183313","0.762617975275936","-3.97213309608358",-6.37130032791671,-3.20951512080764
24,"-2.33179492514103","0.762617975275935","-3.97213309608358",-6.30392802122461,-3.20951512080765
25,"-2.4133039893839","0.834953577263126","-3.94852539600371",-6.36182938538761,-3.11357181874058
26,"-2.39713422378778","0.834953577263125","-3.94852539600371",-6.34565961979149,-3.11357181874058
27,"-1.96000321915613","0.54053023590054","-3.68308037963162",-5.64308359878775,-3.14255014373108
28,"-1.74015829454662","0.588938503490986","-3.66855577618888",-5.4087140707355,-3.07961727269789
29,"-1.70049585671696","0.578529183627001","-3.52174099427413",-5.22223685099109,-2.94321181064713
30,"-1.47945184958482","0.505313577665582","-3.41859584755605",-4.89804769714087,-2.91328226989047
31,"-1.4758680940913","0.505313577665581","-3.41859584755605",-4.89446394164735,-2.91328226989047
32,"-1.35771080120802","0.527780117298719","-3.41172537698403",-4.76943617819205,-2.88394525968531
33,"-1.05721233277501","0.261228703439955","-3.19360085469485",-4.25081318746986,-2.93237215125489
34,"-0.94672574626422","0.261228703439954","-3.19360085469485",-4.14032660095907,-2.9323721512549
35,"-0.685141102921307","0.0220391644297332","-2.96914289038846",-3.65428399330977,-2.94710372595873
36,"-0.782009833027839","0.0247596490833562","-2.96869204962546",-3.7507018826533,-2.9439324005421
37,"-0.785058388831272","0.0270700762648631","-2.88782247630254",-3.67288086513381,-2.86075240003768
38,"-0.617423114998759","0.0270700762648633","-2.88782247630254",-3.5052455913013,-2.86075240003768
39,"-0.67386512046195","0.0792363128187328","-2.87705896912641",-3.55092408958836,-2.79782265630768
40,"-0.59701313946168","0.0792363128187332","-2.87705896912641",-3.47407210858809,-2.79782265630768
41,"-0.55736829195645","0.0647727819349119","-2.83643037303385",-3.3937986649903,-2.77165759109894
42,"-0.496867519103532","-0.00483112018053569","-2.85467373780365",-3.35154125690718,-2.85950485798419
43,"-0.639247516411479","0.0708757366561769","-2.8348307726412",-3.47407828905268,-2.76395503598502
44,"-0.550680538302084","-0.0331635711368285","-2.86209974729319",-3.41278028559527,-2.89526331843002
45,"-0.344558186093594","0.0281550536073247","-2.84602797538973",-3.19058616148332,-2.81787292178241
46,"-0.351288590028129","0.0281550536073242","-2.84602797538973",-3.19731656541786,-2.81787292178241
47,"-0.167908564334174","-0.107830993785016","-2.6906979272941",-2.85860649162827,-2.79852892107912
48,"-0.00937571081790505","-0.107830993785016","-2.6906979272941",-2.700073638112,-2.79852892107912
49,"-0.0730974099868932","-0.0438300493927495","-2.67077724943494",-2.74387465942183,-2.71460729882769
50,"-0.134215650356125","-0.0438300493927491","-2.67077724943495",-2.80499289979108,-2.7146072988277
51,"-0.0987036930747589","-0.0657745495952336","-2.67760760675959",-2.77631129983435,-2.74338215635482
52,"-0.0649867896756009","-0.0657745495952343","-2.67760760675959",-2.74259439643519,-2.74338215635482
53,"0.205694582172365","-0.376814177685212","-2.41287678198775",-2.20718219981539,-2.78969095967296
54,"0.0953532042148503","-0.387697120172602","-2.41176548741482",-2.31641228319997,-2.79946260758742
55,"0.257677856986568","-0.39348241165552","-2.41270509039093",-2.15502723340436,-2.80618750204645
56,"0.338470866116052","-0.474158256346066","-2.33414710975111",-1.99567624363506,-2.80830536609718
57,"0.291503052937159","-0.462392802884605","-2.34560370210276",-2.0541006491656,-2.80799650498736
58,"0.283191454540768","-0.471207110434958","-2.34484438665955",-2.06165293211878,-2.81605149709451
59,"0.276544203801249","-0.47120711043496","-2.34484438665955",-2.0683001828583,-2.81605149709451
60,"0.281416540019529","-0.472099698563754","-2.38070375761776",-2.09928721759823,-2.85280345618151
61,"0.398852369394543","-0.592455465596472","-2.36515720603706",-1.96630483664252,-2.95761267163353
62,"0.459645074988497","-0.579044877750652","-2.39639083973153",-1.93674576474303,-2.97543571748218
