"Model_Number","Estimated_Beta_Yes","Estimated_Beta_No","Estimated_Beta_Intercept","Estimated_Beta_Yes_2","Estimated_Beta_No_2"
1,"0.276576728964942","-0.956600730554834","-0.426096891631008",-0.149520162666066,-1.38269762218584
2,"0.22366643529243","-0.954991276439755","-0.384420550923661",-0.160754115631231,-1.33941182736342
3,"0.275049330780135","-0.922424092937378","-0.43515493803256",-0.160105607252425,-1.35757903096994
4,"0.139269570541949","-0.84835574075541","-0.495990885646316",-0.356721315104367,-1.34434662640173
5,"0.0729775357305481","-0.829487861032863","-0.479144358133352",-0.406166822402804,-1.30863221916621
6,"0.151898619488744","-0.819642221210618","-0.531813945642591",-0.379915326153847,-1.35145616685321
7,"0.23733564154084","-0.77929378821807","-0.526155707481315",-0.288820065940475,-1.30544949569938
8,"0.220141297471385","-0.747904078731423","-0.594540309670914",-0.374399012199529,-1.34244438840234
9,"0.164226319590016","-0.751369758016341","-0.594952480494392",-0.430726160904376,-1.34632223851073
10,"-0.771680907270017","0.174517186968833","-1.06709237731258",-1.8387732845826,-0.892575190343747
11,"-0.0430669493764592","-0.0220910380516457","-1.02854280901751",-1.07160975839397,-1.05063384706916
12,"-0.295372578936929","0.0969187393815052","-1.03045663076487",-1.3258292097018,-0.933537891383365
13,"-0.421276793202982","0.0124765267316765","-1.05938538230317",-1.48066217550615,-1.04690885557149
14,"-1.10262370642138","0.559504764187741","-1.18796043334234",-2.29058413976372,-0.628455669154599
15,"-1.13412891543034","0.516265879366729","-1.23453991515683",-2.36866883058717,-0.718274035790101
16,"-1.63850118954238","0.841648267860451","-1.19873079884743",-2.83723198838981,-0.357082530986979
17,"-1.64612637910767","0.655710897451322","-1.18153692577332",-2.82766330488099,-0.525826028321998
18,"-0.134187055949607","-0.928929816994885","-0.301717399485601",-0.435904455435208,-1.23064721648049
19,"-0.406672400837688","-0.96581756488959","-0.292659834875446",-0.699332235713134,-1.25847739976504
20,"-0.410040121867325","-0.976925626086108","-0.283688715121427",-0.693728836988752,-1.26061434120754
21,"-0.848983690046025","-0.978254882047932","-0.28329157068664",-1.13227526073267,-1.26154645273457
22,"-1.00943488270163","-0.80032886627523","-0.403996733945696",-1.41343161664733,-1.20432560022093
23,"-1.43284678847961","-0.800115556859161","-0.407202780391684",-1.84004956887129,-1.20731833725084
24,"-1.42309389723632","-0.792681536561727","-0.414115664887756",-1.83720956212408,-1.20679720144948
25,"-1.4599102327454","-0.794411507384039","-0.408948752230009",-1.86885898497541,-1.20336025961405
26,"-1.27910350819484","-0.97504650658888","-0.281347523143861",-1.5604510313387,-1.25639402973274
27,"-1.95417327548041","-0.893770797873055","-0.278765316097986",-2.2329385915784,-1.17253611397104
28,"-1.68065837157698","-0.915760567352822","-0.228081314954276",-1.90873968653126,-1.1438418823071
29,"-2.14384253852956","-0.875396407122185","-0.229126281325092",-2.37296881985465,-1.10452268844728
30,"-1.83994873112259","-1.11352332552859","-0.0624203188528453",-1.90236904997544,-1.17594364438144
31,"-2.38444467301947","-0.94191923510639","-0.124371669638043",-2.50881634265751,-1.06629090474443
32,"-2.64156775769123","-0.664345227274044","-0.343103801566717",-2.98467155925795,-1.00744902884076
33,"-2.67307112034232","-0.477254555055142","-0.421332057201438",-3.09440317754376,-0.89858661225658
34,"-1.84481428957066","-0.699743816345902","-0.377077720299624",-2.22189200987028,-1.07682153664553
35,"-1.55589099615702","-0.573526989556194","-0.427863807936563",-1.98375480409358,-1.00139079749276
36,"-2.18361519607488","0.168793483770154","-0.969120541466601",-3.15273573754148,-0.800327057696447
37,"-1.54859952720684","0.0299314475182329","-0.830715669039307",-2.37931519624615,-0.800784221521074
38,"-1.4760129365671","0.39517603505885","-1.13350163816972",-2.60951457473682,-0.73832560311087
39,"-0.411748335217756","0.488325351820593","-1.16336064227009",-1.57510897748785,-0.675035290449497
40,"-0.184415291069141","0.664442492954254","-1.31867254035232",-1.50308783142146,-0.654230047398066
41,"0.286771410724989","0.692938247846521","-1.32656348049086",-1.03979206976587,-0.633625232644339
42,"0.203112111257171","0.570433891870297","-1.27435087148936",-1.07123876023219,-0.703916979619063
43,"0.342753399967981","0.579602883107272","-1.2787491813861",-0.935995781418119,-0.699146298278828
44,"0.314578570140371","0.609649929291196","-1.33940704113888",-1.02482847099851,-0.729757111847684
45,"0.277601047242735","0.722944851279669","-1.3809018832839",-1.10330083604116,-0.657957032004231
46,"0.277321442389495","0.787233165438614","-1.45193615497387",-1.17461471258438,-0.664702989535256
47,"0.155109450012571","0.813075056588691","-1.43183272550954",-1.27672327549697,-0.618757668920849
48,"0.286661951496092","0.737312111810145","-1.37011039220402",-1.08344844070793,-0.632798280393875
49,"-0.0294869248736665","1.00442826277071","-1.51729852530211",-1.54678545017578,-0.5128702625314
50,"-0.0024981994496576","0.939071718478659","-1.46405933986352",-1.46655753931318,-0.524987621384861
51,"-0.115400010211443","1.16399691955532","-1.59559833535845",-1.71099834556989,-0.43160141580313
52,"-0.049374164365655","1.45296921062389","-1.76459284869478",-1.81396701306043,-0.31162363807089
53,"-0.0434741583526642","1.45296921062389","-1.76459284869478",-1.80806700704744,-0.31162363807089
54,"-0.547200084554363","1.3737927180853","-1.70096034137086",-2.24816042592522,-0.32716762328556
55,"-0.173953372209762","0.979592709622358","-1.34860841086074",-1.5225617830705,-0.369015701238382
56,"-0.833235417018044","1.23265650053065","-1.56468195135262",-2.39791736837066,-0.33202545082197
57,"-0.97697923625537","1.36991113518361","-1.62859025450432",-2.60556949075969,-0.25867911932071
58,"-1.29486269150844","1.37306302716719","-1.63283133965542",-2.92769403116386,-0.25976831248823
