"Model_Number","Estimated_Beta_Yes","Estimated_Beta_No","Estimated_Beta_Intercept","Estimated_Beta_Yes_2","Estimated_Beta_No_2"
1,"1.51250108450978","-0.270707336316893","-0.253665012423055",1.25883607208672,-0.524372348739948
2,"1.63644986680353","-0.394656118610643","-0.183394691618174",1.45305517518536,-0.578050810228817
3,"1.74499098449831","-0.394656118610642","-0.183394691618174",1.56159629288014,-0.578050810228816
4,"1.69854389980436","-0.348209033916693","-0.194770950513347",1.50377294929101,-0.54297998443004
5,"1.68399689965826","-0.348209033916693","-0.194770950513347",1.48922594914491,-0.54297998443004
6,"1.72599127954262","-0.390203413801052","-0.055472262213679",1.67051901732894,-0.445675676014731
7,"1.79115246106692","-0.390203413801052","-0.0554722622136801",1.73568019885324,-0.445675676014732
8,"1.86002210269664","-0.459073055430768","0.0540817242234411",1.91410382692008,-0.404991331207327
9,"1.90859961865359","-0.459073055430767","0.0540817242234409",1.96268134287703,-0.404991331207326
10,"1.90939448977881","-0.459867926555988","0.140809074301003",2.05020356407981,-0.319058852254985
11,"1.87400208161405","-0.459867926555988","0.140809074301002",2.01481115591505,-0.319058852254986
12,"1.85816247741947","-0.4440283223614","0.319243542589535",2.17740602000901,-0.124784779771865
13,"1.0123968443728","-0.4440283223614","0.319243542589535",1.33164038696233,-0.124784779771865
14,"0.577205661376395","-0.00883713936498989","0.486020279708265",1.06322594108466,0.477183140343275
15,"-0.248659773778143","-0.00883713936498946","0.486020279708265",0.237360505930122,0.477183140343276
16,"-0.360722723250902","0.103225810107771","0.579644692285213",0.218921969034311,0.682870502392984
17,"-0.382063609495967","0.102339277126668","0.635503571545319",0.253439962049352,0.737842848671987
18,"-0.314591908045122","0.0280533649845096","0.758613224356777",0.444021316311655,0.786666589341287
19,"-0.104438934077679","0.0520460729519565","0.715219919224539",0.61078098514686,0.767265992176495
20,"-0.161220907140194","0.136988497121732","0.753855513465904",0.59263460632571,0.890844010587636
21,"0.0530355550760559","-0.055978284582675","0.905102840349045",0.958138395425101,0.84912455576637
22,"0.0195757066753565","-0.0468648731153114","0.923644686891511",0.943220393566867,0.8767798137762
23,"0.0568155239789607","-0.0425475593850352","0.925053700501615",0.981869224480576,0.88250614111658
24,"0.0586913673553929","-0.0425475593850349","0.925053700501615",0.983745067857008,0.88250614111658
25,"0.0460859176070665","-0.043610511830319","0.924706791623579",0.970792709230646,0.88109627979326
26,"0.0443325367488305","-0.0436105118303194","0.92470679162358",0.969039328372411,0.881096279793261
27,"0.420797579554263","-0.314383365665507","1.16882909621655",1.58962667577081,0.854445730551043
28,"0.558800183946936","-0.214093479303441","1.19892046079607",1.75772064474301,0.984826981492629
29,"0.602167683756306","-0.218852127048174","1.26603722154326",1.86820490529957,1.04718509449509
30,"0.778601540697136","-0.316535287202974","1.40365192477145",2.18225346546859,1.08711663756848
31,"0.785246975087752","-0.316535287202974","1.40365192477145",2.1888988998592,1.08711663756848
32,"0.840064750279994","-0.190804063014095","1.44210166780621",2.2821664180862,1.25129760479211
33,"1.16616138594513","-0.42589498480821","1.6344814202469",2.80064280619203,1.20858643543869
34,"1.23235335235841","-0.42589498480821","1.6344814202469",2.86683477260531,1.20858643543869
35,"1.18190118359935","-0.320811431666202","1.53586991525407",2.71777109885342,1.21505848358787
36,"1.15910119391375","-0.246599389942312","1.54816839062684",2.70726958454059,1.30156900068453
37,"1.17701410454741","-0.249987226767186","1.42958732444647",2.60660142899388,1.17960009767928
38,"0.963417366628119","-0.249987226767185","1.42958732444647",2.39300469107459,1.17960009767929
39,"0.956192511925758","-0.245039416936766","1.43060821056236",2.38680072248812,1.18556879362559
40,"1.04128383366306","-0.245039416936768","1.43060821056236",2.47189204422542,1.18556879362559
41,"1.10918333123007","-0.283812732027256","1.5395238944735",2.64870722570357,1.25571116244624
42,"1.14841775437115","-0.343634501495294","1.52384445225242",2.67226220662357,1.18020995075713
43,"0.90385895667301","-0.186165456487023","1.56511750075585",2.46897645742886,1.37895204426883
44,"1.024146932848","-0.337968011304035","1.52532965415033",2.54947658699833,1.18736164284629
