"Model_Number","Estimated_Beta_Yes","Estimated_Beta_No","Estimated_Beta_Intercept","Estimated_Beta_Yes_2","Estimated_Beta_No_2"
1,"-0.17729617355279","0.545783569425726","-3.40238609630678",-3.57968226985957,-2.85660252688105
2,"-0.0230972440127829","0.391584639885716","-3.24354215421134",-3.26663939822412,-2.85195751432562
3,"-0.37567985039943","0.391584639885716","-3.24354215421134",-3.61922200461077,-2.85195751432562
4,"-0.383278541233455","0.399183330719741","-3.20356132152766",-3.58683986276112,-2.80437799080792
5,"-0.384521639742166","0.399183330719741","-3.20356132152765",-3.58808296126982,-2.80437799080791
6,"-0.372619935076067","0.387281626053643","-3.04353538890684",-3.41615532398291,-2.6562537628532
7,"-0.321309401718711","0.387281626053643","-3.04353538890684",-3.36484479062555,-2.6562537628532
8,"-0.302564966200756","0.368537190535689","-3.01371778588305",-3.31628275208381,-2.64518059534736
9,"-0.270495277957351","0.368537190535689","-3.01371778588305",-3.2842130638404,-2.64518059534736
10,"-0.388251358613351","0.486293271191689","-3.06355523079068",-3.45180658940403,-2.57726195959899
11,"-0.496858724964699","0.486293271191689","-3.06355523079068",-3.56041395575538,-2.57726195959899
12,"-0.497768848328583","0.487203394555573","-3.05330261484671",-3.55107146317529,-2.56609922029114
13,"-0.871924698853825","0.487203394555573","-3.05330261484671",-3.92522731370053,-2.56609922029114
14,"-1.05278337230688","0.668062068008626","-2.98399280201814",-4.03677617432502,-2.31593073400951
15,"-1.52538370701464","0.668062068008627","-2.98399280201815",-4.50937650903279,-2.31593073400952
16,"-1.57792045833348","0.720598819327464","-2.91993984466245",-4.49786030299593,-2.19934102533499
17,"-1.59006821199942","0.71953267241729","-2.85276380857756",-4.44283202057698,-2.13323113616027
18,"-1.5899839817481","0.710857772412897","-2.83838740937994",-4.42837139112804,-2.12752963696704
19,"-1.51152085405073","0.681970249585265","-2.78614132301592",-4.29766217706665,-2.10417107343065
20,"-1.51944022124451","0.642956968872813","-2.80388629907898",-4.32332652032349,-2.16092933020617
21,"-1.53054700341737","0.650385220719372","-2.80970856146675",-4.34025556488412,-2.15932334074738
22,"-1.56094963550955","0.663675099719091","-2.78266941176269",-4.34361904727224,-2.1189943120436
23,"-1.54533570525509","0.735705795981222","-2.75916122178175",-4.30449692703684,-2.02345542580053
24,"-1.50600700097145","0.735705795981222","-2.75916122178175",-4.2651682227532,-2.02345542580053
