"Model_Number","Estimated_Beta_Yes","Estimated_Beta_No","Estimated_Beta_Intercept","Estimated_Beta_Yes_2","Estimated_Beta_No_2"
1,"0.323501932477832","0.106245416810158","-3.34573364944713",-3.0222317169693,-3.23948823263697
2,"0.69782867765523","-0.26808132836724","-3.1032069814553",-2.40537830380007,-3.37128830982254
3,"0.398627399049956","-0.26808132836724","-3.1032069814553",-2.70457958240534,-3.37128830982254
4,"0.2735676008177","-0.143021530134983","-3.04456408498805",-2.77099648417035,-3.18758561512303
5,"0.24306513830705","-0.143021530134983","-3.04456408498805",-2.801498946681,-3.18758561512303
6,"0.295182607994767","-0.1951389998227","-2.79772346502952",-2.50254085703475,-2.99286246485222
7,"0.40647536625043","-0.195138999822701","-2.79772346502952",-2.39124809877909,-2.99286246485222
8,"0.487395727956072","-0.276059361528344","-2.66899986492061",-2.18160413696454,-2.94505922644895
9,"0.573443663345298","-0.276059361528344","-2.66899986492061",-2.09555620157531,-2.94505922644895
10,"0.467057170676226","-0.169672868859272","-2.57171108445881",-2.10465391378258,-2.74138395331808
11,"0.356445266538065","-0.169672868859272","-2.57171108445882",-2.21526581792076,-2.74138395331809
12,"0.346161108025381","-0.159388710346587","-2.45585917721022",-2.10969806918484,-2.61524788755681
13,"-0.384994084342019","-0.159388710346587","-2.45585917721022",-2.84085326155224,-2.61524788755681
14,"-0.678889428703229","0.134506634014624","-2.3432307313638",-3.02212016006703,-2.20872409734918
15,"-1.565489185988","0.134506634014625","-2.3432307313638",-3.9087199173518,-2.20872409734918
16,"-1.64876479904043","0.217782247067058","-2.24533113011189",-3.89409592915232,-2.02754888304483
17,"-1.66055577037224","0.216009245194173","-2.1336174097467",-3.79417318011894,-1.91760816455253
18,"-1.66715588050836","0.207991453089193","-2.1203299966438",-3.78748587715216,-1.91233854355461
19,"-1.52861760393034","0.166232563506075","-2.04480470620463",-3.57342231013497,-1.87857214269855
20,"-1.51988726269087","0.0965510501078953","-2.07649895915408",-3.59638622184495,-1.97994790904618
21,"-1.41943517669099","-0.0187262959690827","-1.98614459717361",-3.4055797738646,-2.00487089314269
22,"-1.40767390141019","-0.0495721114010231","-2.04890247640078",-3.45657637781097,-2.0984745878018
23,"-1.53753459805149","-0.00450249613293471","-2.03419339911747",-3.57172799716896,-2.0386958952504
24,"-1.51551739055324","-0.0045024961329354","-2.03419339911747",-3.54971078967071,-2.03869589525041
25,"-1.53121569737318","0.0296031620107354","-2.023062557231",-3.55427825460418,-1.99345939522026
26,"-1.53846032243858","0.0296031620107353","-2.023062557231",-3.56152287966958,-1.99345939522026
27,"-1.34634943650661","-0.142224158979102","-1.86814716967295",-3.21449660617956,-2.01037132865205
28,"-1.28435942208367","-0.147373726323752","-1.86969226573414",-3.15405168781781,-2.01706599205789
29,"-1.27795268631734","-0.151634166961027","-1.8096023010491",-3.08755498736644,-1.96123646801013
30,"-1.25857491498698","-0.131505549490503","-1.83795922270489",-3.09653413769187,-1.96946477219539
31,"-1.25936919336604","-0.131505549490503","-1.83795922270489",-3.09732841607093,-1.96946477219539
32,"-1.15063675651142","-0.13860160727631","-1.84012926121509",-2.99076601772651,-1.9787308684914
33,"-0.937344565391379","-0.346847968687534","-1.66971696647727",-2.60706153186865,-2.0165649351648
34,"-0.910813039897622","-0.346847968687534","-1.66971696647727",-2.58053000637489,-2.0165649351648
35,"-0.861428681632957","-0.421992518901738","-1.59920053486577",-2.46062921649873,-2.02119305376751
36,"-0.860365795646937","-0.443870586144518","-1.60282618462474",-2.46319198027168,-2.04669677076926
37,"-0.867687610603476","-0.443167761268472","-1.57822590797393",-2.44591351857741,-2.0213936692424
38,"-0.897471186004076","-0.443167761268472","-1.57822590797393",-2.47569709397801,-2.0213936692424
39,"-0.885234094353202","-0.463145057810479","-1.58234784179347",-2.46758193614667,-2.04549289960395
40,"-0.999128948004056","-0.46314505781048","-1.58234784179347",-2.58147678979753,-2.04549289960395
41,"-0.953055506965802","-0.470500233314083","-1.56168688029477",-2.51474238726057,-2.03218711360885
42,"-0.900804809677198","-0.525341255591175","-1.57606085565165",-2.47686566532885,-2.10140211124282
43,"-0.997009467335419","-0.464397278592819","-1.56008727990213",-2.55709674723755,-2.02448455849495
44,"-0.858577517728499","-0.616005098651311","-1.59982408601817",-2.45840160374667,-2.21582918466948
45,"-0.495115541308165","-0.543735689969259","-1.58088208500653",-2.07599762631469,-2.12461777497579
