"Group.1","x"
"0001d461 u",26
"0001d466 u",11
"0080 journal",32
"0080 scal",12
"0080 speech",22
"0080 u",4175
"0091 â",203
"0091 percent",27
"0092 risk",17
"0092 t",11
"0093 â",29
"0093 bernank",12
"0093 clarida",13
"0093 financi",12
"0093 press",13
"0093 return",102
"0094 â",172
"0094 b",20
"0094 can",14
"0094 case",14
"0094 exampl",23
"0094 feder",15
"0094 financi",13
"0094 good",12
"0094 includ",39
"0094 monetari",15
"0094 particular",13
"0094 percent",12
"0094 two",11
"0094 u",20
"0094 well",19
"0099 abil",21
"0099 expect",11
"0099 risk",22
"0099 staff",13
"0099 supervisori",16
"0099 t",37
"0099 v",13
"25a1 u",21
"â u",1849
"à vis",17
"aaa bond",16
"aaa corpor",20
"aaa rate",35
"aaronson daniel",19
"aaronson et",28
"aaronson other",14
"aaronson stephani",29
"aaronson sullivan",11
"aaronson tomaz",13
"ab o",11
"aba s",21
"abandon casual",12
"abandon effort",13
"abandon polici",16
"abandon properti",21
"abat inflationari",13
"abat time",12
"abcp conduit",11
"abcp market",16
"abil absorb",41
"abil access",15
"abil achiev",110
"abil act",22
"abil adapt",52
"abil address",11
"abil adjust",34
"abil affect",13
"abil agenc",12
"abil american",16
"abil anticip",12
"abil assess",30
"abil attract",39
"abil bank",200
"abil borrow",67
"abil bring",15
"abil busi",45
"abil buy",12
"abil carri",26
"abil central",72
"abil chang",32
"abil commerci",13
"abil communiti",15
"abil compani",11
"abil compet",106
"abil conduct",53
"abil consum",20
"abil continu",23
"abil control",78
"abil countri",18
"abil creat",36
"abil credit",19
"abil deal",34
"abil deliv",41
"abil determin",12
"abil develop",21
"abil earn",18
"abil economi",53
"abil effect",11
"abil engag",25
"abil evalu",21
"abil execut",11
"abil expand",39
"abil fed",18
"abil feder",50
"abil financ",52
"abil financi",64
"abil find",15
"abil firm",40
"abil forecast",25
"abil foreign",12
"abil fund",31
"abil generat",32
"abil get",11
"abil govern",36
"abil grow",14
"abil handl",45
"abil hold",20
"abil household",14
"abil identifi",30
"abil implement",19
"abil improv",16
"abil incent",13
"abil increas",19
"abil individu",18
"abil influenc",45
"abil innov",22
"abil institut",38
"abil keep",22
"abil learn",14
"abil lend",31
"abil lender",17
"abil lower",11
"abil maintain",51
"abil make",86
"abil manag",71
"abil mani",13
"abil market",41
"abil measur",13
"abil meet",78
"abil monetari",58
"abil monitor",26
"abil move",21
"abil nation",14
"abil o",15
"abil obtain",30
"abil offer",20
"abil pay",73
"abil perform",14
"abil play",12
"abil policymak",14
"abil predict",26
"abil privat",11
"abil produc",71
"abil provid",95
"abil public",12
"abil pursu",14
"abil rais",47
"abil reach",14
"abil recov",11
"abil reduc",11
"abil refin",19
"abil regul",15
"abil repay",100
"abil respond",52
"abil save",15
"abil sell",26
"abil servic",39
"abil set",20
"abil stabil",11
"abil state",24
"abil sustain",27
"abil system",16
"abil take",26
"abil tap",23
"abil think",16
"abil thrift",14
"abil transfer",14
"abil u",37
"abil understand",19
"abil undertak",11
"abil unit",24
"abil use",41
"abil weather",16
"abil willing",69
"abil withstand",27
"abil work",24
"abl absorb",33
"abl access",15
"abl accommod",17
"abl achiev",95
"abl act",14
"abl adapt",33
"abl address",38
"abl adjust",31
"abl afford",32
"abl agre",14
"abl anticip",17
"abl assess",21
"abl attract",43
"abl avoid",50
"abl balanc",11
"abl bear",75
"abl borrow",65
"abl bring",28
"abl build",14
"abl buy",36
"abl carri",12
"abl channel",13
"abl choos",13
"abl collect",13
"abl compet",106
"abl conduct",22
"abl continu",49
"abl control",19
"abl cope",34
"abl creat",11
"abl credit",12
"abl cut",28
"abl deal",24
"abl deliv",14
"abl determin",30
"abl develop",27
"abl divers",15
"abl draw",32
"abl earn",18
"abl econom",14
"abl employ",11
"abl engag",14
"abl enjoy",16
"abl establish",18
"abl evalu",11
"abl exercis",11
"abl expand",61
"abl exploit",13
"abl extend",14
"abl financ",59
"abl find",55
"abl fulli",15
"abl fund",12
"abl generat",18
"abl get",70
"abl give",22
"abl go",19
"abl grow",21
"abl handl",22
"abl help",28
"abl hold",22
"abl identifi",39
"abl improv",27
"abl increas",54
"abl influenc",18
"abl issu",33
"abl join",18
"abl judg",19
"abl keep",44
"abl lend",20
"abl leverag",14
"abl look",28
"abl maintain",68
"abl make",175
"abl manag",33
"abl match",15
"abl measur",19
"abl meet",101
"abl move",35
"abl observ",14
"abl obtain",97
"abl offer",54
"abl offset",12
"abl oper",38
"abl particip",35
"abl pass",46
"abl pay",73
"abl perform",19
"abl predict",16
"abl prevent",11
"abl proceed",15
"abl produc",26
"abl protect",15
"abl provid",112
"abl purchas",25
"abl put",13
"abl rais",61
"abl reach",24
"abl recov",15
"abl reduc",44
"abl refin",25
"abl reli",29
"abl report",19
"abl respond",39
"abl return",15
"abl run",11
"abl satisfi",12
"abl say",22
"abl see",31
"abl sell",51
"abl serv",29
"abl servic",22
"abl share",17
"abl shift",14
"abl success",12
"abl suppli",23
"abl support",25
"abl surviv",16
"abl sustain",35
"abl take",104
"abl talk",17
"abl tap",12
"abl tell",12
"abl time",19
"abl turn",16
"abl understand",16
"abl use",55
"abl will",53
"abl withstand",23
"abl work",55
"abnorm high",17
"abnorm larg",14
"abnorm low",19
"abort recoveri",19
"abraham lincoln",38
"abreast chang",12
"abroad access",11
"abroad addit",14
"abroad also",69
"abroad although",18
"abroad american",18
"abroad appear",11
"abroad bank",14
"abroad borrow",20
"abroad can",44
"abroad capit",22
"abroad chang",13
"abroad continu",18
"abroad countri",15
"abroad cours",16
"abroad declin",13
"abroad digit",13
"abroad dollar",36
"abroad especi",25
"abroad expand",11
"abroad export",13
"abroad fact",12
"abroad feder",12
"abroad financ",23
"abroad foreign",84
"abroad general",11
"abroad help",25
"abroad hold",12
"abroad home",27
"abroad howev",45
"abroad import",25
"abroad improv",11
"abroad includ",21
"abroad increas",40
"abroad inde",15
"abroad indefinit",12
"abroad industri",13
"abroad intern",11
"abroad larg",14
"abroad last",13
"abroad like",18
"abroad long",12
"abroad make",11
"abroad mani",16
"abroad may",40
"abroad might",13
"abroad monetari",13
"abroad moreov",16
"abroad much",17
"abroad must",17
"abroad need",20
"abroad net",14
"abroad new",14
"abroad now",13
"abroad one",24
"abroad particular",17
"abroad past",31
"abroad plus",12
"abroad provid",22
"abroad rather",15
"abroad reason",11
"abroad recent",16
"abroad reduc",17
"abroad reflect",11
"abroad relat",20
"abroad result",17
"abroad rise",27
"abroad s",17
"abroad see",20
"abroad seem",11
"abroad signific",15
"abroad still",14
"abroad suggest",11
"abroad therebi",18
"abroad thus",18
"abroad time",16
"abroad trade",20
"abroad turn",11
"abroad u",83
"abroad unit",30
"abroad well",53
"abroad without",15
"abroad world",13
"abrupt chang",50
"abrupt end",14
"abrupt shift",36
"absenc addit",11
"absenc chang",19
"absenc clear",22
"absenc evid",14
"absenc govern",18
"absenc inflat",25
"absenc inflationari",15
"absenc major",15
"absenc new",13
"absenc o",11
"absenc polici",18
"absenc price",19
"absenc shock",30
"absenc signific",18
"absenc strong",12
"absenc stronger",13
"absent clarifi",14
"absolut amount",29
"absolut crucial",11
"absolut essenti",83
"absolut level",24
"absolut necessari",30
"absolut number",12
"absolut poverti",14
"absolut prioriti",16
"absolut prohibit",11
"absolut relat",39
"absolut right",16
"absolut sens",13
"absolut size",23
"absolut term",93
"absolut valu",12
"absorb addit",33
"absorb bank",26
"absorb busi",15
"absorb capac",54
"absorb capit",29
"absorb chang",16
"absorb cost",21
"absorb credit",17
"absorb current",12
"absorb excess",13
"absorb feder",18
"absorb financi",11
"absorb fund",20
"absorb increas",29
"absorb labor",13
"absorb larg",34
"absorb loss",114
"absorb mani",11
"absorb much",18
"absorb net",14
"absorb new",44
"absorb price",12
"absorb relat",13
"absorb requir",13
"absorb reserv",29
"absorb resourc",15
"absorb save",18
"absorb shock",44
"absorb sizabl",28
"absorb substanti",14
"absorb unexpect",15
"absorb without",13
"absorb work",20
"absorpt capac",21
"absorpt exchang",11
"abund avail",12
"abund caution",13
"abund clear",57
"abund credit",13
"abund energi",12
"abund evid",18
"abund inexpens",13
"abund liquid",14
"abund money",20
"abund reserv",16
"abund suppli",31
"abus lend",33
"abus may",17
"abus occur",20
"abus practic",51
"ac c",16
"ac cid",69
"ac count",27
"ac k",12
"ac t",22
"ac tion",20
"ac tiviti",13
"academ busi",13
"academ career",16
"academ communiti",59
"academ debat",13
"academ economist",76
"academ exercis",11
"academ expert",36
"academ financi",20
"academ institut",25
"academ interest",17
"academ literatur",54
"academ polici",22
"academ policymak",35
"academ research",116
"academ studi",21
"academ work",17
"academ year",26
"academi scienc",23
"accel cid",15
"acceler around",12
"acceler averag",20
"acceler beyond",13
"acceler busi",11
"acceler chang",16
"acceler collect",11
"acceler core",14
"acceler credit",11
"acceler deceler",26
"acceler declin",13
"acceler demand",19
"acceler depreci",66
"acceler develop",14
"acceler doubl",12
"acceler earli",15
"acceler econom",44
"acceler effect",21
"acceler effort",13
"acceler even",20
"acceler expans",26
"acceler feder",16
"acceler financi",13
"acceler first",12
"acceler govern",14
"acceler growth",136
"acceler improv",12
"acceler increas",17
"acceler inflat",532
"acceler interest",14
"acceler labor",28
"acceler last",41
"acceler late",15
"acceler long",15
"acceler m",13
"acceler mid",16
"acceler militari",13
"acceler monetari",18
"acceler money",77
"acceler much",16
"acceler next",11
"acceler output",12
"acceler pace",99
"acceler past",27
"acceler per",37
"acceler percent",73
"acceler person",14
"acceler price",68
"acceler process",26
"acceler product",140
"acceler rapid",17
"acceler rate",106
"acceler real",17
"acceler recent",27
"acceler recoveri",23
"acceler reflect",11
"acceler respons",16
"acceler result",16
"acceler rise",16
"acceler s",17
"acceler second",18
"acceler sharpli",54
"acceler signific",18
"acceler sinc",19
"acceler somewhat",17
"acceler still",16
"acceler strong",12
"acceler tax",22
"acceler technolog",11
"acceler time",23
"acceler toward",11
"acceler trend",56
"acceler u",18
"acceler unit",14
"acceler unsustain",14
"acceler vietnam",11
"acceler wage",42
"acceler year",26
"accentu posit",11
"accept account",73
"accept altern",16
"accept american",12
"accept among",25
"accept applic",22
"accept appropri",11
"accept bank",30
"accept capit",12
"accept card",14
"accept certain",11
"accept challeng",21
"accept chang",13
"accept check",31
"accept collater",23
"accept cost",30
"accept credit",45
"accept demand",21
"accept deposit",86
"accept doctrin",12
"accept econom",15
"accept electron",16
"accept fact",49
"accept feder",18
"accept goal",16
"accept greater",16
"accept high",11
"accept higher",41
"accept idea",32
"accept import",12
"accept inevit",16
"accept inflat",32
"accept intern",14
"accept invit",41
"accept job",15
"accept larg",17
"accept less",17
"accept level",90
"accept lower",43
"accept market",17
"accept monetari",19
"accept need",11
"accept new",39
"accept part",13
"accept payment",22
"accept period",11
"accept polici",13
"accept practic",20
"accept principl",19
"accept proposit",15
"accept public",23
"accept rang",30
"accept rate",33
"accept reject",20
"accept relationship",28
"accept respons",27
"accept retail",12
"accept risk",47
"accept smaller",18
"accept social",12
"accept standard",23
"accept tax",12
"accept time",15
"accept view",42
"accept way",22
"access account",15
"access afford",23
"access altern",12
"access american",14
"access avail",12
"access bank",106
"access basic",12
"access busi",15
"access capit",224
"access central",42
"access check",13
"access commerci",23
"access consum",16
"access contact",11
"access credit",652
"access data",24
"access deposit",24
"access discount",80
"access dollar",12
"access econom",19
"access educ",18
"access emerg",20
"access equiti",24
"access euro",20
"access extern",13
"access fed",23
"access feder",126
"access fee",40
"access financ",19
"access financi",95
"access foreign",41
"access fund",128
"access good",20
"access govern",15
"access health",14
"access high",36
"access home",11
"access hous",16
"access immigr",14
"access inform",78
"access institut",11
"access intern",27
"access internet",13
"access job",12
"access key",26
"access liquid",28
"access loan",12
"access low",17
"access market",69
"access may",28
"access money",34
"access mortgag",42
"access nation",50
"access new",36
"access open",11
"access opportun",25
"access partnership",29
"access payment",89
"access price",11
"access privat",17
"access public",37
"access qualiti",18
"access real",14
"access resourc",12
"access respons",17
"access safe",11
"access safeti",23
"access secur",17
"access servic",34
"access short",13
"access small",33
"access social",11
"access sourc",36
"access system",19
"access train",11
"access transport",16
"access u",23
"access version",79
"access wide",16
"access window",15
"access work",17
"access world",23
"accom cid",24
"accom pani",12
"accom plish",14
"accommod appropri",28
"accommod bank",19
"accommod can",50
"accommod chang",37
"accommod continu",14
"accommod cours",11
"accommod credit",15
"accommod current",20
"accommod custom",13
"accommod demand",14
"accommod depend",16
"accommod econom",15
"accommod economi",21
"accommod elb",15
"accommod even",15
"accommod expans",17
"accommod expect",16
"accommod fed",14
"accommod feder",25
"accommod financi",81
"accommod fomc",28
"accommod gradual",11
"accommod growth",32
"accommod help",12
"accommod higher",11
"accommod howev",18
"accommod increas",50
"accommod inflat",28
"accommod interest",20
"accommod larg",18
"accommod larger",14
"accommod like",11
"accommod long",17
"accommod lower",11
"accommod may",12
"accommod measur",18
"accommod might",13
"accommod monetari",496
"accommod necessari",16
"accommod need",53
"accommod new",21
"accommod normal",18
"accommod note",12
"accommod now",15
"accommod one",11
"accommod particular",11
"accommod past",13
"accommod place",26
"accommod polici",240
"accommod provid",38
"accommod put",12
"accommod rais",14
"accommod reduc",18
"accommod relat",14
"accommod remov",15
"accommod requir",14
"accommod respons",15
"accommod restrict",15
"accommod result",11
"accommod rise",11
"accommod short",15
"accommod stanc",172
"accommod still",11
"accommod support",23
"accommod think",11
"accommod time",62
"accommod u",14
"accommod without",13
"accompani acceler",13
"accompani budget",12
"accompani chang",26
"accompani chart",16
"accompani declin",34
"accompani econom",20
"accompani expans",11
"accompani financi",20
"accompani growth",21
"accompani high",19
"accompani higher",12
"accompani increas",61
"accompani inflat",20
"accompani introduct",13
"accompani larg",15
"accompani polici",12
"accompani rapid",26
"accompani reduct",16
"accompani rise",51
"accompani sharp",15
"accompani shift",12
"accompani signific",11
"accompani strong",14
"accompani substanti",22
"accomplish can",12
"accomplish end",22
"accomplish feder",14
"accomplish goal",89
"accomplish good",12
"accomplish great",20
"accomplish long",12
"accomplish mission",15
"accomplish much",22
"accomplish object",107
"accomplish past",13
"accomplish polici",12
"accomplish purpos",33
"accomplish result",12
"accomplish set",14
"accomplish social",19
"accomplish task",33
"accomplish thing",16
"accomplish time",14
"accomplish two",11
"accomplish without",41
"accomplish year",11
"accomplish yet",11
"accord administr",16
"accord also",18
"accord analysi",15
"accord bank",46
"accord basel",12
"accord best",21
"accord board",78
"accord budget",13
"accord budgetari",14
"accord bureau",32
"accord calcul",11
"accord call",14
"accord capit",14
"accord census",22
"accord central",13
"accord certain",13
"accord chang",11
"accord cid",14
"accord common",15
"accord congression",28
"accord consum",13
"accord current",18
"accord data",47
"accord demand",12
"accord dynam",16
"accord econom",14
"accord establish",11
"accord estim",40
"accord expect",17
"accord fed",37
"accord feder",105
"accord financi",18
"accord first",15
"accord fomc",28
"accord general",16
"accord implement",19
"accord increas",16
"accord industri",15
"accord institut",13
"accord intern",16
"accord latest",57
"accord law",13
"accord legisl",14
"accord like",19
"accord major",13
"accord mani",20
"accord market",18
"accord median",11
"accord model",17
"accord monetari",20
"accord nation",43
"accord need",14
"accord new",15
"accord now",11
"accord one",63
"accord origin",11
"accord plan",13
"accord polici",14
"accord preliminari",19
"accord price",23
"accord principl",12
"accord propos",16
"accord provis",13
"accord public",13
"accord recent",103
"accord report",23
"accord research",22
"accord risk",23
"accord rule",11
"accord s",18
"accord second",12
"accord spirit",15
"accord standard",21
"accord studi",34
"accord survey",44
"accord theori",16
"accord treasuri",16
"accord type",11
"accord u",44
"accord unit",11
"accord view",78
"accord well",14
"account access",31
"account account",33
"account achiev",25
"account act",23
"account action",30
"account activ",28
"account addit",42
"account adjust",71
"account advertis",11
"account allow",25
"account almost",66
"account also",81
"account although",13
"account american",11
"account among",17
"account amount",13
"account anoth",57
"account appar",14
"account appear",11
"account approach",15
"account appropri",12
"account approxim",37
"account around",14
"account assess",34
"account asset",12
"account at",12
"account audit",77
"account auditor",11
"account author",28
"account automat",11
"account avail",14
"account averag",22
"account b",12
"account balanc",483
"account bank",151
"account base",14
"account basi",39
"account becam",11
"account becom",27
"account believ",15
"account benefit",17
"account bill",16
"account billion",36
"account board",33
"account borrow",11
"account broad",18
"account budget",19
"account bulk",26
"account busi",37
"account can",64
"account capit",32
"account carri",15
"account case",11
"account cash",11
"account categori",28
"account central",31
"account chang",79
"account charg",11
"account check",33
"account cid",11
"account clear",20
"account close",26
"account combin",12
"account commerci",48
"account confid",11
"account congress",48
"account consequ",18
