"Group.1","x"
"0080 speech deliv",21
"0080 u 0091",558
"0080 u 0093",681
"0080 u 0094",1749
"0080 u 0098",32
"0080 u 0099",821
"0080 u 009c",329
"0091 â u",203
"0093 â u",29
"0093 bernank ben",12
"0093 clarida richard",13
"0093 press releas",13
"0093 return text",102
"0094 â u",172
"0094 feder reserv",15
"0094 monetari polici",15
"0094 u 0093",13
"25a1 u 25a1",17
"â u 0080",1848
"aaa corpor bond",12
"aaronson et al",28
"aaronson tomaz cajner",13
"abandon casual solut",12
"abil adapt chang",24
"abil bank system",31
"abil borrow repay",12
"abil central bank",71
"abil commerci bank",13
"abil conduct monetari",17
"abil deliv goal",11
"abil develop countri",11
"abil economi produc",17
"abil feder reserv",46
"abil financi institut",21
"abil financi market",12
"abil financi system",13
"abil implement monetari",13
"abil keep inflat",14
"abil meet need",17
"abil monetari polici",42
"abil o f",14
"abil pay interest",20
"abil produc good",25
"abil repay loan",20
"abil servic debt",13
"abil tap privat",16
"abil u s",37
"abil unit state",24
"abl adapt chang",14
"abl compet deposit",12
"abl compet effect",20
"abl divers group",15
"abl increas price",12
"abl make imperfect",12
"abl meet demand",11
"abl obtain credit",11
"abl obtain stress",16
"abl purchas home",11
"abl rais fund",14
"abl sell loan",16
"abl servic debt",11
"abl take advantag",34
"abroad digit fraser",13
"abroad dollar appreci",12
"abroad feder reserv",12
"abroad home tradit",12
"abroad see among",16
"abroad u s",83
"abroad unit state",30
"abroad well home",14
"absenc shock economi",15
"absenc stronger advanc",11
"absent clarifi feder",14
"absolut relat term",12
"absorb addit provis",11
"absorb bank reserv",11
"absorb busi form",11
"absorb chang interest",11
"absorb credit use",12
"absorb labor forc",12
"absorb net real",12
"absorb new entrant",22
"absorb work forc",16
"abus lend practic",27
"ac cid count",13
"ac cid tion",16
"ac cid tiviti",11
"acceler around percent",11
"acceler doubl digit",12
"acceler econom growth",18
"acceler feder reserv",13
"acceler growth money",22
"acceler growth rate",13
"acceler inflat inflat",11
"acceler inflat rate",31
"acceler interest rate",13
"acceler labor product",14
"acceler last year",21
"acceler monetari growth",11
"acceler money growth",50
"acceler money suppli",16
"acceler pace chang",12
"acceler pace technolog",11
"acceler past year",11
"acceler per cent",35
"acceler percent annual",17
"acceler percent rate",13
"acceler price increas",17
"acceler product growth",36
"acceler rate inflat",26
"acceler second half",11
"acceler tax payment",12
"acceler trend growth",12
"acceler u s",16
"acceler unsustain pace",13
"accept account principl",54
"accept account standard",11
"accept among type",15
"accept credit card",28
"accept demand deposit",15
"accept feder reserv",15
"accept higher inflat",15
"accept monetari polici",11
"accept relationship one",15
"accept retail whole",11
"access bank account",11
"access bank capit",21
"access bank credit",22
"access bank servic",14
"access capit credit",49
"access capit market",73
"access central bank",40
"access commerci paper",17
"access credit capit",20
"access credit financi",21
"access credit low",14
"access credit market",30
"access credit small",15
"access discount window",76
"access econom opportun",14
"access emerg liquid",12
"access equiti capit",16
"access euro dollar",18
"access feder reserv",90
"access feder safeti",16
"access fee consum",12
"access fee instanc",12
"access financi market",17
"access financi servic",48
"access foreign market",19
"access high qualiti",16
"access intern capit",11
"access key video",25
"access may requir",12
"access money credit",12
"access money market",16
"access mortgag credit",29
"access nation money",17
"access partnership secap",11
"access payment mechan",11
"access payment system",59
"access respons credit",12
"access safeti net",18
"access short term",13
"access small busi",20
"access u s",23
"access version thank",12
"access window may",11
"access work capit",15
"accom cid plish",11
"accommod can maintain",11
"accommod can remov",12
"accommod financi condit",63
"accommod interest rate",17
"accommod larg scale",12
"accommod measur pace",13
"accommod monetari polici",469
"accommod polici stanc",47
"accommod stanc bolster",11
"accommod stanc monetari",89
"accommod stanc polici",18
"accommod time come",15
"accommod u s",14
"accompani budget budget",11
"accompani introduct discount",11
"accomplish good deal",11
"accomplish social object",16
"accord budget status",12
"accord budgetari scrutini",14
"accord bureau labor",24
"accord census bureau",14
"accord congression budget",19
"accord feder reserv",86
"accord implement group",15
"accord latest avail",11
"accord monetari polici",13
"accord nation bureau",15
"accord one estim",14
"accord one studi",11
"accord price rather",12
"accord recent studi",11
"accord spirit execut",12
"accord u s",41
"account adjust industri",12
"account allow custom",12
"account almost half",12
"account almost one",11
"account almost percent",16
"account anoth bank",11
"account approxim percent",19
"account assess risk",12
"account audit disclosur",13
"account balanc payment",19
"account balanc sheet",21
"account bank s",11
"account bank thrift",14
"account central bank",30
"account check account",11
"account commerci bank",38
"account congress american",15
"account corpor govern",17
"account credit card",12
"account deficit also",15
"account deficit billion",29
"account deficit can",12
"account deficit continu",15
"account deficit countri",17
"account deficit increas",20
"account deficit larg",13
"account deficit must",21
"account deficit one",12
"account deficit possibl",11
"account deficit reflect",16
"account deficit speech",11
"account deficit surplus",13
"account deficit u",13
"account deficit unit",25
"account deficit widen",21
"account deficit year",13
"account demand deposit",12
"account depositori institut",22
"account digit fraser",26
"account feder credit",22
"account feder govern",12
"account feder reserv",90
"account financi institut",14
"account four fifth",17
"account interest rate",17
"account larg share",11
"account less percent",19
"account long term",13
"account match imperfect",12
"account member bank",14
"account monetari polici",19
"account money market",20
"account much acceler",11
"account near half",11
"account near one",16
"account near percent",27
"account new york",18
"account now account",17
"account o f",12
"account offic gao",21
"account one fifth",19
"account one fourth",16
"account one half",14
"account one quarter",16
"account one sixth",22
"account one third",55
"account oversight board",32
"account payment servic",16
"account per cent",239
"account percent gdp",23
"account percent nation",14
"account percent net",11
"account percent state",11
"account percent total",83
"account percent u",32
"account percent world",13
"account polici decis",11
"account principl gaap",13
"account reason feder",12
"account reinvest financi",12
"account relat small",18
"account rough one",11
"account rough percent",14
"account rough two",11
"account save loan",24
"account seem like",20
"account special need",11
"account standard board",74
"account super now",12
"account surplus billion",11
"account surplus countri",17
"account surplus deficit",15
"account system make",17
"account term chang",14
"account third parti",14
"account three fifth",12
"account three fourth",14
"account three quarter",12
"account transact fee",18
"account two third",97
"account u s",23
"account unit state",41
"account vast major",18
"account well one",12
"account well transact",12
"accru public interpret",12
"accumul foreign claim",11
"accumul home equiti",11
"accumul liquid asset",11
"accur time inform",14
"accustom industri gear",13
"ach feder reserv",12
"achiev altern channel",12
"achiev balanc budget",12
"achiev balanc payment",12
"achiev better balanc",35
"achiev better outcom",12
"achiev better result",11
"achiev broad base",11
"achiev central bank",24
"achiev congression mandat",22
"achiev dual mandat",160
"achiev econom goal",14
"achiev econom growth",17
"achiev econom stabil",12
"achiev economi scale",12
"achiev fed s",17
"achiev feder reserv",25
"achiev financi stabil",24
"achiev full employ",63
"achiev goal econom",11
"achiev goal monetari",21
"achiev goal price",15
"achiev high degre",11
"achiev inflat averag",28
"achiev inflat goal",27
"achiev inflat moder",36
"achiev inflat object",29
"achiev inflat outcom",18
"achiev inflat target",30
"achiev last year",13
"achiev long run",57
"achiev long term",40
"achiev longer run",22
"achiev longer term",11
"achiev low inflat",26
"achiev low stabl",32
"achiev macroeconom object",11
"achiev maintain maximum",14
"achiev maintain price",27
"achiev mandat goal",12
"achiev maximum employ",112
"achiev maximum sustain",75
"achiev monetari polici",44
"achiev nation econom",13
"achiev nation s",15
"achiev object monetari",18
"achiev object one",12
"achiev oper effici",11
"achiev particular social",27
"achiev per cent",17
"achiev percent inflat",35
"achiev percent target",12
"achiev polici goal",32
"achiev polici object",21
"achiev price level",23
"achiev price stabil",271
"achiev reason price",13
"achiev recent year",12
"achiev scrutini essenti",11
"achiev stabl price",25
"achiev sustain dual",14
"achiev sustain econom",28
"achiev sustain growth",19
"achiev third consider",11
"achiev two object",11
"achiev vari level",14
"achiev zero inflat",16
"acknowledg feder open",17
"acquir bank hold",12
"acquir new skill",20
"acquir treasuri secur",16
"acquisi cid tion",14
"acquisit across state",14
"acquisit bank hold",22
"acquisit bank stock",11
"acquisit bear stearn",11
"acquisit fail bank",15
"acquisit feder guarante",16
"acquisit financi distress",11
"acquisit hold compani",14
"acquisit loan reflect",11
"acquisit need weaken",12
"acquisit u s",35
