Group.1,Group.2,Tone_Household,Tone_Firms,Tone_Banks,Tone_Government,Dummy
No,1965-Q1,1,NA,0.4,1,A
No,1965-Q2,1,NA,-0.2,NA,A
No,1965-Q3,NA,1,1,NA,A
No,1965-Q4,0.333333333,0.75,1,0,A
No,1966-Q1,0.444444444,1,1,-0.5,A
No,1966-Q2,-0.111111111,1,0.62962963,0,A
No,1966-Q3,-1,1,0.34,1,A
No,1966-Q4,0.846153846,0.8,0.791666667,-0.2,A
No,1967-Q1,NA,NA,-0.2,-1,A
No,1967-Q2,1,0.666666667,0.857142857,1,A
No,1967-Q3,0.333333333,0.6,0,-1,A
No,1967-Q4,-0.111111111,-1,0.266666667,NA,A
No,1968-Q1,1,1,-1,-0.333333333,A
No,1968-Q2,0.611111111,1,-0.040816327,-0.875,A
No,1968-Q3,0.355555556,0.666666667,-0.428571429,1,A
No,1968-Q4,1,-1,-0.523809524,NA,A
No,1969-Q1,0.5,1,0.75,0.40952381,A
No,1969-Q2,1,0.333333333,0,NA,A
No,1969-Q3,1,0,0.5,1,A
No,1969-Q4,0.277777778,0.5,1,-1,A
No,1970-Q1,0.25,0.5,0.333333333,-0.666666667,A
No,1970-Q2,-0.333333333,0.155555556,0.166666667,-1,A
No,1970-Q3,0.333333333,0.166666667,NA,-1,A
No,1970-Q4,0.228571429,-0.333333333,0.142857143,1,A
No,1971-Q1,-0.066666667,0.5,0.566666667,1,A
No,1971-Q2,0.6,0.666666667,-0.222222222,0,A
No,1971-Q3,1,-1,NA,-1,A
No,1971-Q4,-0.416666667,0.366666667,0.666666667,0,A
No,1972-Q1,0.866666667,1,1,-1,A
No,1972-Q2,0.666666667,0.568181818,1,-0.111111111,A
No,1972-Q3,-0.428571429,0.333333333,0.333333333,-0.5,A
No,1972-Q4,0,0.6,0.666666667,-1,A
No,1973-Q1,0.212121212,NA,0.2,0.666666667,A
No,1973-Q2,1,0.2,0.5,-0.777777778,A
No,1973-Q3,0,0.583333333,-0.166666667,0,A
No,1973-Q4,-0.5,0.3,0.333333333,1,A
No,1974-Q1,0.166666667,-0.055555556,-0.333333333,0,A
No,1974-Q2,0.585185185,-0.833333333,0.407407407,-0.625,A
No,1974-Q3,-0.476190476,-0.079365079,0.238095238,0.142857143,A
No,1974-Q4,0,0,-0.066666667,NA,A
No,1975-Q1,0.488888889,0.14,0.622222222,-0.266666667,A
No,1975-Q2,0.356060606,0,-0.333333333,-0.75,B
No,1975-Q3,0.352380952,-0.533333333,0.6,-1,B
No,1975-Q4,0.428571429,-0.333333333,-0.25,-0.866666667,B
No,1976-Q1,0.238095238,0.666666667,0.4,0,B
No,1976-Q2,0.459259259,0.916666667,-0.25,-0.041666667,B
