"Group.1","Tone_Household","Tone_Firms","Tone_Banks","Tone_Government"
"1949-Q1",1,1,1,NA
"1952-Q2",NA,NA,0,NA
"1952-Q4",1,NA,NA,NA
"1953-Q1",NA,NA,NA,NA
"1953-Q2",NA,NA,1,NA
"1953-Q3",0.2,NA,NA,NA
"1954-Q1",NA,NA,NA,NA
"1954-Q2",NA,NA,NA,NA
"1954-Q3",NA,NA,NA,NA
"1954-Q4",1,-1,0.5,NA
"1955-Q1",1,NA,1,NA
"1955-Q2",1,1,1,-1
"1955-Q3",NA,NA,0.6,NA
"1955-Q4",1,1,NA,NA
"1956-Q1",1,1,1,NA
"1956-Q2",1,-1,0.578947368421053,-1
"1956-Q3",0.5,0,1,NA
"1956-Q4",0.666666666666667,-1,-1,NA
"1957-Q1",0.282051282051282,0,1,1
"1957-Q2",0.909090909090909,-0.583333333333333,0.4,1
"1957-Q3",0.5,NA,0.375,0
"1957-Q4",0.518518518518519,0.222222222222222,0.5,-1
"1958-Q1",NA,0,1,NA
"1958-Q2",0.942857142857143,1,0.583333333333333,1
"1958-Q3",NA,NA,NA,1
"1958-Q4",0.5,0.777777777777778,1,1
"1959-Q1",0.688888888888889,0.333333333333333,0.1875,NA
"1959-Q2",0.777777777777778,1,0.6,1
"1959-Q3",1,1,0.333333333333333,-0.333333333333333
"1959-Q4",1,-1,-1,NA
"1960-Q1",1,-1,1,NA
"1960-Q2",1,NA,-0.5,1
"1960-Q4",NA,1,1,NA
"1961-Q1",1,NA,1,0
"1961-Q2",1,1,1,NA
"1961-Q3",NA,-1,NA,-1
"1961-Q4",1,0,1,-1
"1962-Q1",1,1,0.555555555555556,0
"1962-Q2",1,-1,0.5,-1
"1962-Q3",0.583333333333333,0,0.666666666666667,0.5
"1962-Q4",1,0.2,1,0.166666666666666
"1963-Q1",NA,0.333333333333333,1,1
"1963-Q2",0.933333333333333,0.666666666666667,0.444444444444444,-0.6
"1963-Q3",0.2,1,1,-1
"1963-Q4",0,1,-1,0
"1964-Q1",1,-1,1,0
"1964-Q2",NA,NA,-1,0
"1964-Q3",NA,1,NA,0
"1964-Q4",1,-0.5,1,-1
"1965-Q1",1,NA,0.4,1
"1965-Q2",1,NA,-0.2,NA
"1965-Q3",1,1,1,NA
"1965-Q4",0.333333333333333,0.8,1,0
"1966-Q1",0.666666666666667,1,1,-0.666666666666667
"1966-Q2",-0.111111111111111,1,0.62962962962963,0
"1966-Q3",-1,1,0.355555555555556,1
"1966-Q4",0.538461538461538,0.875,0.633333333333333,-0.2
"1967-Q1",0.333333333333333,1,0.52,0.0833333333333332
"1967-Q2",1,0.75,0.877551020408163,0.777777777777778
"1967-Q3",0.5,0.7,0,0
"1967-Q4",0.333333333333333,0.2,0.222222222222222,-1
"1968-Q1",0.4,1,-0.333333333333333,-0.6
"1968-Q2",0.708333333333333,1,-0.0408163265306123,-0.642857142857143
"1968-Q3",0.613333333333333,0.777777777777778,-0.0204081632653061,0
"1968-Q4",1,0,-0.642857142857143,1
"1969-Q1",0.0625,1,0.8,0.507936507936508
"1969-Q2",0.100529100529101,0.333333333333333,0.5,-1
"1969-Q3",1,0,0.2,1
"1969-Q4",0.0303030303030304,0.2,1,0.333333333333333
"1970-Q1",0.1,0.444444444444444,-0.2,-0.0333333333333332
"1970-Q2",-0.333333333333333,-0.00833333333333338,-0.0416666666666666,0
"1970-Q3",0.4,0.166666666666666,1,0.25
"1970-Q4",0.177777777777778,0,0.142857142857143,0.5
"1971-Q1",0.0909090909090909,0.625,0.69047619047619,1
"1971-Q2",0.414814814814815,0.6,-0.0476190476190476,-0.333333333333333
"1971-Q3",0.8,-0.111111111111111,NA,-1
"1971-Q4",-0.5,0.0933333333333332,0.272727272727273,-0.75
"1972-Q1",-0.0523809523809524,0.155555555555556,0.6,0.142857142857143
"1972-Q2",0.272222222222222,0.61038961038961,1,-0.111111111111111
"1972-Q3",0.0476190476190477,0.333333333333333,0.333333333333333,-0.5
"1972-Q4",0.4,0.7,0.75,-0.6
"1973-Q1",0.626262626262626,-0.5,0.428571428571429,0.8
"1973-Q2",0.678571428571429,0.2,0.733333333333333,-0.833333333333333
"1973-Q3",0.0833333333333332,0.19047619047619,-0.296296296296296,0
"1973-Q4",-0.52,0.305555555555555,0.619047619047619,1
"1974-Q1",0.616666666666667,-0.0555555555555553,-0.5,0
"1974-Q2",0.351111111111111,-0.425925925925926,0.555555555555555,-0.416666666666667
"1974-Q3",-0.155555555555556,0.313131313131313,0.277777777777778,0.224489795918367
"1974-Q4",0.0952380952380953,0.375,0.0666666666666667,0
"1975-Q1",-0.0066666666666667,-0.421212121212121,0.573333333333333,-0.133333333333333
"1975-Q2",0.2366391184573,-0.75,0,-0.875
"1975-Q3",0.297777777777778,0.266666666666667,0.55,-0.46031746031746
"1975-Q4",0,-0.142857142857143,0.196969696969697,-0.727777777777778
"1976-Q1",-0.133333333333333,0.25,0.375,0.466666666666667
"1976-Q2",0.511111111111111,0.916666666666667,-0.2,-0.0416666666666668
"1976-Q3",0.314285714285714,0.333333333333333,-0.333333333333333,0
"1976-Q4",0,-0.5,0.555555555555556,1
"1977-Q1",0,0.0714285714285714,0.6,0
"1977-Q2",0.256410256410256,0.5,0.0833333333333332,-1
"1977-Q3",-0.233333333333333,NA,-1,0.333333333333333
"1977-Q4",0.0151515151515152,0.333333333333333,0.8,-0.0666666666666666
"1978-Q1",0.619047619047619,0.153846153846154,0.6,-0.6
"1978-Q2",-0.0603174603174603,-0.0681818181818182,0.777777777777778,-0.688888888888889
"1978-Q3",0.0777777777777778,0.322222222222222,0.333333333333333,-0.6
"1978-Q4",0.0473015873015873,-0.37037037037037,-0.25,-0.654761904761905
"1979-Q1",0.401785714285714,0.19047619047619,-0.076530612244898,-0.2
"1979-Q2",0.666666666666667,-0.666666666666667,-0.307692307692308,-0.555555555555556
"1979-Q3",-0.166666666666667,-0.222222222222222,0.333333333333333,-0.652777777777778
"1979-Q4",0.145833333333333,0,0.00366300366300369,-0.075
"1980-Q1",0.0606060606060606,0,0.327272727272727,0
"1980-Q2",-0.115942028985507,-0.428571428571429,-0.136904761904762,-0.296296296296296
"1980-Q3",0.287179487179487,-0.0468864468864469,-0.2,0.0333333333333333
"1980-Q4",0.25,0.785714285714286,-0.406060606060606,0.25
"1981-Q1",-0.476190476190476,0.444444444444445,-0.121212121212121,-0.666666666666667
"1981-Q2",0.2,0.363636363636364,-0.395454545454545,-0.416666666666667
"1981-Q3",-0.12,-0.523809523809524,0.2,-0.222222222222222
"1981-Q4",0.35,-0.818181818181818,-0.520833333333333,-0.486742424242424
"1982-Q1",-0.114285714285714,0.5,-0.523809523809524,-0.357142857142857
"1982-Q2",-0.251851851851852,0.5,0.0555555555555557,0.142857142857143
"1982-Q3",0.2,-0.0666666666666668,-0.302483660130719,-0.714285714285714
"1982-Q4",-0.333333333333333,1,0.727272727272727,-0.366666666666667
"1983-Q1",-0.0277777777777778,0.555555555555556,0,-1
"1983-Q2",0.5,0.185185185185185,0.666666666666667,-1
"1983-Q3",0.5,1,0.833333333333333,0.555555555555556
"1983-Q4",0.333333333333333,0.866666666666667,0.0242424242424243,0.271428571428571
"1984-Q1",0.236111111111111,0.333333333333333,0.703703703703704,-0.415018315018315
"1984-Q2",0.296825396825397,0.777777777777778,0.541396103896104,-0.378446115288221
"1984-Q3",0,-1,0.166666666666666,-1
"1984-Q4",0.5,0.9,0.733333333333333,-0.575
"1985-Q1",0.385714285714286,0.00588235294117647,0.466666666666667,0.15625
"1985-Q2",0.090909090909091,0.471428571428571,0.151190476190476,-0.148443223443223
"1985-Q3",-0.428571428571429,0.0476190476190477,0.126666666666667,0.0317460317460318
"1985-Q4",0.87962962962963,0.217777777777778,-0.194444444444444,-0.184027777777778
"1986-Q1",0.904761904761905,-0.5,-0.142857142857143,0.0523809523809523
"1986-Q2",0,0.4125,-0.0333333333333333,0.333333333333333
"1986-Q3",0.638888888888889,1,-1,-0.5
"1986-Q4",0.666666666666667,0.611111111111111,-0.034090909090909,0.0476190476190477
"1987-Q1",0.125,-0.394117647058824,0.248148148148148,-0.6875
"1987-Q2",-1.17178161464072e-16,0.222222222222222,0.333333333333333,0.05
"1987-Q3",0.75,-1,0.666666666666667,0.5
"1987-Q4",0.944444444444444,0.380952380952381,0.142857142857143,-0.566666666666667
"1988-Q1",0.350877192982456,-0.296296296296296,-0.4996632996633,-0.571428571428571
"1988-Q2",0.416666666666667,0.6,-0.321428571428571,-0.388888888888889
"1988-Q3",0.5,1,0.4,-1
"1988-Q4",0.5,0,-0.171875,-0.355555555555556
"1989-Q1",0.261904761904762,-0.266666666666667,0.0583333333333333,-0.881944444444444
"1989-Q2",0.111111111111111,0.347619047619048,-0.301282051282051,-0.527777777777778
"1989-Q3",-0.75,-0.466666666666667,0,0
"1989-Q4",0.507575757575758,0.523809523809524,-0.641975308641975,1
"1990-Q1",0.481481481481481,0.1,-0.389494949494949,-0.0208333333333332
"1990-Q2",0.561904761904762,0.285714285714286,-0.153052261747914,0.5
"1990-Q3",0.2,0.333333333333333,0.134427684117125,-0.5
"1990-Q4",-0.666666666666667,0.714285714285714,-0.43010752688172,-0.6
"1991-Q1",0.644444444444444,-0.384615384615385,-0.212121212121212,-0.222222222222222
"1991-Q2",0.6,-1,-0.618333333333333,0
"1991-Q3",0.5,0.5,0.5,-0.45
"1991-Q4",0.6,-0.5,0.133333333333333,0
"1992-Q1",0.833333333333333,0,-0.0166666666666667,0.166666666666667
"1992-Q2",0.375,0.777777777777778,-0.106389906389906,0
"1992-Q3",0.809523809523809,1,-0.193333333333333,0.222222222222222
"1992-Q4",0.619047619047619,1,0.25,0
"1993-Q1",0.377037037037037,0.407407407407407,-0.242857142857143,-0.545454545454545
"1993-Q2",0.694444444444444,0.714285714285714,-0.619047619047619,0
"1993-Q3",0.666666666666667,1,0.285714285714286,0
"1993-Q4",0.6,1,-0.333333333333333,-0.5
"1994-Q1",0.428571428571429,0,-0.0476190476190476,0.0333333333333333
"1994-Q2",0.29047619047619,-0.111111111111111,-0.329365079365079,0.471428571428571
"1994-Q3",0.8,1,-0.0642857142857143,-0.025
"1994-Q4",-0.107407407407407,1,0.350308641975309,0.433333333333333
"1995-Q1",0.115384615384615,0.666666666666667,-0.0925925925925926,-0.4
"1995-Q2",0.666666666666667,0.733333333333333,0.277777777777778,0.0476190476190476
"1995-Q3",0.333333333333333,1,0.6,-0.333333333333333
"1995-Q4",0.555555555555555,1,0.644444444444444,-0.444444444444444
"1996-Q1",1,1,0.0166666666666668,0
"1996-Q2",0.838888888888889,0.847222222222222,0.866666666666667,-0.6
"1996-Q3",0,-1,1,NA
"1996-Q4",0.0555555555555555,0.571428571428571,-0.333333333333333,0
"1997-Q1",0.75,1,0.275,-0.666666666666667
"1997-Q2",0.586734693877551,0.663636363636364,-0.0216450216450215,-0.4
"1997-Q3",0.502020202020202,0.708333333333333,-0.25,-0.333333333333333
"1997-Q4",0.62962962962963,1,-0.2,0.333333333333333
"1998-Q1",0.647296494355318,0.637037037037037,-0.0751879699248121,0.166666666666667
"1998-Q2",0.353846153846154,0.62,0.073093573093573,0
"1998-Q3",0.917948717948718,0.66875,0.173214285714286,1
"1998-Q4",0.708333333333333,-0.105555555555556,0.107602339181287,-0.333333333333333
"1999-Q1",0.793197278911565,0.613756613756614,0.244230769230769,0.0555555555555555
"1999-Q2",0.776497345247345,0.42948717948718,-0.0370370370370371,0
"1999-Q3",0.856410256410256,0.613636363636364,0.259259259259259,NA
"1999-Q4",0.602962962962963,0.636874236874237,0.502777777777778,0
"2000-Q1",0.798997493734336,0.34047619047619,0.242424242424242,0.75
"2000-Q2",0.85,0.685260770975057,0.41031746031746,1
"2000-Q3",0.888095238095238,0.777777777777778,0.306060606060606,-1
"2000-Q4",0.868888888888889,0.773148148148148,0.3125,0
"2001-Q1",0.351515151515152,0.448126232741617,-0.221031746031746,-1
"2001-Q2",0.707246376811594,0.715608465608466,-0.0153769841269842,0.6
"2001-Q3",0.125,0.48,0.444444444444444,-1
"2001-Q4",0.214285714285714,0.297435897435897,0.333862433862434,-0.5
"2002-Q1",0.575757575757576,0.354636591478697,-0.110364145658263,-0.142857142857143
"2002-Q2",0.875,0.6,0.294444444444444,1
"2002-Q3",-0.333333333333333,0.875,0.729166666666667,1
"2002-Q4",0.625925925925926,0.83987012987013,0.500732600732601,-0.706666666666667
"2003-Q1",0.438655462184874,0.813015873015873,-0.392857142857143,-1
"2003-Q2",0.490196078431373,0.717320261437909,-0.445571095571096,0.333333333333333
"2003-Q3",0.265800865800866,0.651960784313726,0.472727272727273,-1
"2003-Q4",0.0134575569358178,0.542857142857143,-0.142592592592593,-0.285714285714286
"2004-Q1",0.365769496204279,0.516584564860427,-0.00694444444444444,-0.75
"2004-Q2",0.0177291852607421,0.509984639016897,0.0247252747252747,-0.428571428571429
"2004-Q3",0.138888888888889,0.427222222222222,-0.5,0.333333333333333
"2004-Q4",0.15026455026455,0.310846560846561,-0.0821428571428571,-0.333333333333333
"2005-Q1",0.384992784992785,0.171688691425534,-0.284902597402597,0.383037475345168
"2005-Q2",0.544823232323232,0.479242424242424,0.251446592623063,0.4
"2005-Q3",0.298941798941799,0.551282051282051,-0.0419047619047619,1
"2005-Q4",0.530769230769231,0.33989898989899,-0.0358001786573215,-0.619047619047619
"2006-Q1",0.733333333333333,0.761904761904762,0.326190476190476,0.75
"2006-Q2",0.631944444444444,0.706349206349206,0.112245834973108,-0.272727272727273
"2006-Q3",-0.125,1,0.233333333333333,-1
"2006-Q4",0.579019129019129,0.326315789473684,-0.321212121212121,0.481481481481482
"2007-Q1",0.737055074555074,-0.112585034013605,0.324428571428571,-0.5
"2007-Q2",0.533333333333333,-0.0325396825396826,0.115555555555556,-0.25
"2007-Q3",0.508452950558214,0.394444444444444,-0.482291254451919,0
"2007-Q4",0.104166666666667,0.5,-0.601345755693582,1
"2008-Q1",-0.114942528735632,0.212121212121212,-0.68494623655914,NA
"2008-Q2",0.28125,0.0416666666666666,-0.425250100040016,-1
"2008-Q3",-0.625,-0.1,-0.415972222222222,NA
"2008-Q4",0.179487179487179,0.285714285714286,-0.173015873015873,0.6
"2009-Q1",0.487179487179487,0.5,-0.176026272577997,0.833333333333333
"2009-Q2",0.439393939393939,0.574074074074074,0.0674706246134817,0.333333333333333
"2009-Q3",-0.0923076923076923,0,-0.176868686868687,1
"2009-Q4",-0.185897435897436,0.461538461538462,-0.0608225108225108,0.571428571428571
"2010-Q1",-0.5,0.505263157894737,-0.305357142857143,-0.333333333333333
"2010-Q2",0.242307692307692,0.436231884057971,-0.347245564892624,-0.125
"2010-Q3",-0.0458333333333334,0.422222222222222,-0.498245614035088,-0.4
"2010-Q4",0.229506802721088,0.5,0.135416666666667,-0.184615384615385
"2011-Q1",0.103663003663004,0.457142857142857,0.0932051282051282,-0.5
"2011-Q2",0.24954954954955,0.475,-0.405080096554751,0.375
"2011-Q3",0.288148148148148,-0.0833333333333332,0,-0.333333333333333
"2011-Q4",-0.0361642743221691,0.229166666666667,-0.615327380952381,-0.666666666666667
"2012-Q1",0.157965367965368,0.733333333333333,-0.514718614718615,0.166666666666667
"2012-Q2",0.375963718820862,0.175,-0.319067969067969,-0.6
"2012-Q3",0.581632653061224,1,0.228571428571429,-0.666666666666667
"2012-Q4",0.609940787909367,0.464285714285714,-0.634188034188034,-0.777777777777778
"2013-Q1",0.688055555555556,0.714285714285714,-0.717307692307692,-0.487179487179487
"2013-Q2",0.463809523809524,0.261904761904762,-0.561148727815394,0
"2013-Q3",0.579487179487179,0,-0.174655047204067,NA
"2013-Q4",0.721827897825797,0.314285714285714,-0.246031746031746,0.142857142857143
"2014-Q1",0.488484848484848,0.36,-0.49859943977591,-0.666666666666667
"2014-Q2",0.56265664160401,0.212121212121212,-0.409546703296703,-0.333333333333333
"2014-Q3",0.477564102564103,0.5875,-0.286390532544379,-0.111111111111111
"2014-Q4",0.455263157894737,1,-0.190104166666667,0.833333333333333
"2015-Q1",0.724074074074074,0.583333333333333,-0.338468720821662,0.2
"2015-Q2",0.579220779220779,0.61,-0.61038961038961,0.666666666666667
"2015-Q3",0.690833333333333,0.3,-0.0833333333333333,-1
"2015-Q4",0.639540089540089,0.615384615384615,-0.215079365079365,0
"2016-Q1",0.633792662364091,0.56140350877193,-0.387878787878788,1
"2016-Q2",0.793111041207927,0.176923076923077,-0.414141414141414,-1
"2016-Q3",0.550641025641026,0.243290043290043,-0.23015873015873,NA
"2016-Q4",0.457671957671958,0.0840336134453782,-0.544444444444444,-0.1
"2017-Q1",0.679329004329004,0.205128205128205,-0.236111111111111,0.387755102040816
"2017-Q2",0.642222222222222,0.555555555555556,0.0943364327979712,-1
"2017-Q3",0.721048419367747,0.607142857142857,0.128005198180637,-1
"2017-Q4",0.935897435897436,0.5,0.075,-1
"2018-Q1",0.773202614379085,0.438271604938272,0.0128205128205129,0.2
