"Group.1","Group.2","Tone_Household","Tone_Firms","Tone_Banks","Tone_Government"
"Yes","1949-Q1",1,1,1,NA
"No","1952-Q2",NA,NA,0,NA
"No","1952-Q4",1,NA,NA,NA
"No","1953-Q1",NA,NA,NA,NA
"No","1953-Q2",NA,NA,1,NA
"No","1953-Q3",0.2,NA,NA,NA
"No","1954-Q1",NA,NA,NA,NA
"No","1954-Q2",NA,NA,NA,NA
"No","1954-Q3",NA,NA,NA,NA
"No","1954-Q4",1,-1,0.5,NA
"No","1955-Q1",1,NA,1,NA
"No","1955-Q2",1,1,1,-1
"No","1955-Q3",NA,NA,0.6,NA
"No","1955-Q4",1,1,NA,NA
"No","1956-Q1",1,1,1,NA
"Yes","1956-Q1",NA,NA,NA,NA
"No","1956-Q2",1,-1,0.578947368421053,-1
"No","1956-Q3",1,0,1,NA
"Yes","1956-Q3",0,NA,NA,NA
"No","1956-Q4",0.666666666666667,-1,-1,NA
"Yes","1956-Q4",NA,NA,NA,NA
"No","1957-Q1",0.282051282051282,0,1,1
"No","1957-Q2",0.875,-0.583333333333333,0.428571428571429,1
"Yes","1957-Q2",1,NA,0.333333333333333,1
"No","1957-Q3",0.333333333333333,NA,0.5,1
"Yes","1957-Q3",1,NA,0,-1
"No","1957-Q4",0.458333333333333,0.0666666666666666,0.75,NA
"Yes","1957-Q4",1,1,0,-1
"No","1958-Q1",NA,0,1,NA
"Yes","1958-Q1",NA,NA,NA,NA
"No","1958-Q2",1,1,1,1
"Yes","1958-Q2",0.904761904761905,NA,-0.111111111111111,NA
"No","1958-Q3",NA,NA,NA,1
"No","1958-Q4",0.5,0.777777777777778,1,1
"No","1959-Q1",1,0.333333333333333,0.1875,NA
"Yes","1959-Q1",0.222222222222222,NA,NA,NA
"No","1959-Q2",1,1,0.333333333333333,1
"Yes","1959-Q2",-0.333333333333333,NA,1,NA
"No","1959-Q3",1,1,0,-1
"Yes","1959-Q3",NA,NA,1,1
"No","1959-Q4",1,-1,-1,NA
"Yes","1959-Q4",1,NA,NA,NA
"No","1960-Q1",1,-1,1,NA
"Yes","1960-Q1",1,NA,1,NA
"No","1960-Q2",1,NA,1,1
"Yes","1960-Q2",1,NA,-1,NA
"No","1960-Q4",NA,1,1,NA
"Yes","1960-Q4",NA,NA,NA,NA
"No","1961-Q1",1,NA,1,0
"Yes","1961-Q1",NA,NA,1,NA
"No","1961-Q2",1,NA,1,NA
"Yes","1961-Q2",1,1,1,NA
"No","1961-Q3",NA,-1,NA,-1
"Yes","1961-Q3",NA,NA,NA,NA
"No","1961-Q4",1,0,1,NA
"Yes","1961-Q4",1,NA,1,-1
"No","1962-Q1",1,1,1,0
"Yes","1962-Q1",1,1,0.333333333333333,NA
"No","1962-Q2",1,-1,0,-1
"Yes","1962-Q2",1,NA,1,NA
"No","1962-Q3",1,-0.333333333333333,0.5,1
"Yes","1962-Q3",0.444444444444444,1,1,0
"No","1962-Q4",1,-0.333333333333333,NA,NA
"Yes","1962-Q4",1,1,1,0.166666666666666
"No","1963-Q1",NA,1,1,NA
"Yes","1963-Q1",NA,0,1,1
"No","1963-Q2",1,0,0.333333333333333,NA
"Yes","1963-Q2",0.904761904761905,1,0.666666666666667,-0.6
"No","1963-Q3",-0.4,1,NA,-1
"Yes","1963-Q3",0.8,NA,1,NA
"No","1963-Q4",0,1,-1,0
"Yes","1963-Q4",NA,NA,NA,0
"No","1964-Q1",1,-1,1,-1
"Yes","1964-Q1",1,-1,NA,1
"No","1964-Q2",NA,NA,-1,NA
"Yes","1964-Q2",NA,NA,NA,0
"No","1964-Q3",NA,1,NA,0
"Yes","1964-Q3",NA,NA,NA,NA
"No","1964-Q4",1,-0.5,1,-1
"Yes","1964-Q4",NA,NA,NA,NA
"No","1965-Q1",1,NA,0.4,1
"Yes","1965-Q1",NA,NA,NA,NA
"No","1965-Q2",1,NA,-0.2,NA
"Yes","1965-Q2",NA,NA,NA,NA
"No","1965-Q3",NA,1,1,NA
"Yes","1965-Q3",1,NA,NA,NA
"No","1965-Q4",0.333333333333333,0.75,1,0
"Yes","1965-Q4",0.333333333333333,1,1,NA
"No","1966-Q1",0.444444444444444,1,1,-0.5
"Yes","1966-Q1",1,NA,NA,-1
"No","1966-Q2",-0.111111111111111,1,0.62962962962963,0
