"","Banks$Tone"
"1",-1
"2",NA
"3",NA
"4",-0.2
"5",NA
"6",0.25
"7",NA
"8",1
"9",1
"10",NA
"11",-0.5
"12",NA
"13",-0.666666666666667
"14",NA
"15",NA
"16",-1
"17",0.5
"18",NA
"19",-1
"20",NA
"21",1
"22",1
"23",NA
"24",-1
"25",NA
"26",NA
"27",NA
"28",NA
"29",-0.25
"30",NA
"31",NA
"32",-1
"33",1
"34",-1
"35",-0.666666666666667
"36",-1
"37",-1
"38",0.733333333333333
"39",-1
"40",-0.478260869565217
"41",NA
"42",-0.2
"43",-0.333333333333333
"44",0
"45",1
"46",-0.882352941176471
"47",NA
"48",1
"49",0
"50",1
"51",-1
"52",1
"53",NA
"54",NA
"55",0.5
"56",NA
"57",NA
"58",1
"59",NA
"60",1
"61",NA
"62",0
"63",1
"64",NA
"65",NA
"66",1
"67",NA
"68",1
"69",NA
"70",NA
"71",0
"72",1
"73",-0.8
"74",1
"75",-0.8
"76",NA
"77",-1
"78",NA
"79",-0.6
"80",1
"81",NA
"82",1
"83",NA
"84",NA
"85",NA
"86",NA
"87",1
"88",-1
"89",-1
"90",-1
"91",0.333333333333333
"92",-0.333333333333333
"93",1
"94",0
"95",0
"96",-0.333333333333333
"97",0.333333333333333
"98",1
"99",-0.333333333333333
"100",NA
"101",NA
"102",NA
"103",NA
"104",-1
"105",NA
"106",-1
"107",NA
"108",NA
"109",NA
"110",-1
"111",NA
"112",NA
"113",1
"114",NA
"115",-1
"116",1
"117",NA
"118",NA
"119",1
"120",NA
"121",NA
"122",1
"123",NA
"124",0.333333333333333
"125",1
"126",-1
"127",-1
"128",1
"129",NA
"130",NA
"131",NA
"132",-1
"133",NA
"134",NA
"135",NA
"136",NA
"137",-0.333333333333333
"138",NA
"139",NA
"140",-1
"141",0
"142",0.2
"143",NA
"144",NA
"145",-1
"146",NA
"147",NA
"148",NA
"149",1
"150",1
"151",1
"152",NA
"153",NA
"154",NA
"155",1
"156",NA
"157",NA
"158",NA
"159",0
"160",NA
"161",-0.5
"162",NA
"163",-1
"164",0.5
"165",NA
"166",1
"167",-0.333333333333333
"168",NA
"169",0.272727272727273
"170",-1
"171",NA
"172",NA
"173",1
"174",-0.5
"175",1
"176",0
"177",NA
"178",NA
"179",0
"180",1
"181",-1
"182",NA
"183",NA
"184",-1
"185",-0.5
"186",1
"187",NA
"188",NA
"189",NA
"190",-1
"191",1
"192",-1
"193",0.2
"194",0.625
"195",NA
"196",-1
"197",NA
"198",0
"199",-1
"200",NA
"201",-1
"202",-0.111111111111111
"203",NA
"204",-1
"205",0.0909090909090909
"206",0.2
"207",0.2
"208",-0.111111111111111
"209",0.1
"210",NA
"211",-1
"212",NA
"213",0.0434782608695652
"214",-0.166666666666667
"215",-0.428571428571429
"216",1
"217",-0.130434782608696
"218",-0.290322580645161
"219",NA
"220",NA
"221",NA
"222",-1
"223",NA
"224",NA
"225",-0.75
"226",NA
"227",NA
"228",-1
"229",-0.6
"230",NA
"231",0
"232",NA
"233",1
"234",NA
"235",-1
"236",-0.733333333333333
