"","Firms$Tone"
"1",NA
"2",NA
"3",0
"4",NA
"5",NA
"6",NA
"7",-1
"8",-1
"9",NA
"10",NA
"11",NA
"12",NA
"13",NA
"14",NA
"15",NA
"16",-1
"17",NA
"18",1
"19",NA
"20",NA
"21",NA
"22",NA
"23",NA
"24",NA
"25",-1
"26",0.6
"27",NA
"28",-1
"29",NA
"30",NA
"31",NA
"32",NA
"33",-1
"34",NA
"35",NA
"36",NA
"37",NA
"38",NA
"39",-1
"40",NA
"41",NA
"42",NA
"43",NA
"44",NA
"45",0.333333333333333
"46",NA
"47",NA
"48",1
"49",NA
"50",1
"51",NA
"52",NA
"53",0
"54",0
"55",NA
"56",NA
"57",NA
"58",NA
"59",NA
"60",NA
"61",-1
"62",NA
"63",1
"64",NA
"65",NA
"66",1
"67",1
"68",1
"69",-1
"70",-1
"71",NA
"72",NA
"73",1
"74",NA
"75",1
"76",-1
"77",NA
"78",NA
"79",1
"80",NA
"81",-1
"82",1
"83",NA
"84",1
"85",0
"86",1
"87",-0.333333333333333
"88",NA
"89",0
"90",0.333333333333333
"91",NA
"92",-1
"93",-1
"94",NA
"95",NA
"96",NA
"97",NA
"98",NA
"99",NA
"100",NA
"101",NA
"102",NA
"103",NA
"104",NA
"105",NA
"106",NA
"107",NA
"108",NA
"109",NA
"110",NA
"111",NA
"112",NA
"113",NA
"114",NA
"115",NA
"116",NA
"117",NA
"118",NA
"119",-1
"120",-1
"121",0.428571428571429
"122",NA
"123",NA
"124",NA
"125",1
"126",1
"127",1
"128",0
"129",NA
"130",NA
"131",NA
"132",1
"133",-1
"134",-1
"135",NA
"136",1
"137",NA
"138",1
"139",NA
"140",NA
"141",NA
"142",NA
"143",-1
"144",-1
"145",-1
"146",-1
"147",0.333333333333333
"148",1
"149",NA
"150",1
"151",NA
"152",NA
"153",0.6
"154",NA
"155",NA
"156",NA
"157",-1
"158",-1
"159",NA
"160",NA
"161",NA
"162",0
"163",NA
"164",NA
"165",NA
"166",NA
"167",NA
"168",0
"169",NA
"170",-0.2
"171",1
"172",NA
"173",NA
"174",NA
"175",NA
"176",NA
"177",NA
"178",NA
"179",NA
"180",NA
"181",NA
"182",NA
"183",NA
"184",NA
"185",NA
"186",-1
"187",-1
"188",NA
"189",NA
"190",NA
"191",0.428571428571429
"192",NA
"193",NA
"194",NA
"195",NA
"196",NA
"197",NA
"198",1
"199",NA
"200",NA
"201",NA
"202",1
"203",NA
"204",NA
"205",1
"206",1
"207",1
"208",1
"209",-1
"210",NA
"211",NA
"212",NA
"213",-1
"214",-1
"215",-1
"216",NA
"217",-1
"218",-1
"219",NA
"220",1
"221",NA
"222",NA
"223",NA
"224",NA
"225",NA
"226",NA
"227",NA
"228",NA
"229",NA
"230",NA
"231",NA
"232",NA
"233",NA
"234",NA
"235",NA
"236",NA
"237",NA
"238",NA
"239",NA
"240",NA
"241",NA
"242",NA
"243",NA
"244",NA
"245",NA
"246",NA
"247",NA
"248",NA
"249",NA
"250",NA
"251",NA
"252",NA
"253",NA
"254",NA
"255",NA
"256",NA
"257",NA
"258",NA
"259",NA
"260",NA
"261",NA
"262",1
"263",NA
"264",NA
"265",1
"266",NA
"267",NA
"268",NA
"269",NA
"270",NA
"271",NA
"272",1
"273",NA
"274",NA
"275",NA
"276",NA
"277",NA
"278",NA
"279",NA
"280",NA
"281",1
"282",1
"283",NA
"284",NA
"285",NA
"286",NA
"287",NA
"288",-1
"289",NA
"290",NA
"291",NA
"292",NA
"293",NA
"294",NA
"295",NA
"296",NA
"297",NA
"298",NA
"299",NA
"300",NA
"301",NA
"302",NA
"303",NA
"304",NA
"305",NA
"306",NA
"307",NA
"308",NA
"309",1
"310",NA
"311",NA
"312",NA
"313",NA
"314",NA
"315",0.75
"316",NA
"317",NA
"318",1
"319",NA
"320",NA
"321",-0.6
"322",NA
"323",1
"324",NA
"325",0.5
"326",1
"327",NA
"328",NA
"329",NA
"330",NA
"331",NA
"332",1
"333",NA
"334",NA
"335",NA
"336",1
"337",1
"338",NA
"339",NA
"340",NA
"341",NA
"342",NA
"343",NA
"344",NA
"345",NA
"346",NA
"347",NA
"348",NA
"349",NA
"350",1
"351",NA
"352",NA
"353",NA
"354",-1
"355",NA
"356",NA
"357",-1
"358",-1
"359",NA
"360",1
"361",NA
"362",NA
"363",NA
"364",NA
"365",NA
"366",-1
"367",-1
"368",NA
"369",1
"370",NA
"371",NA
"372",NA
"373",-1
"374",NA
"375",NA
"376",-1
"377",NA
"378",NA
"379",NA
"380",NA
"381",NA
"382",NA
"383",NA
"384",NA
"385",NA
"386",NA
"387",NA
"388",NA
"389",NA
"390",NA
"391",NA
"392",NA
"393",NA
"394",NA
"395",NA
"396",NA
"397",-1
"398",NA
"399",NA
"400",NA
"401",0
"402",NA
"403",NA
"404",NA
"405",NA
"406",NA
"407",NA
"408",1
"409",NA
"410",NA
"411",NA
"412",NA
"413",NA
"414",NA
"415",NA
"416",NA
"417",NA
"418",NA
"419",NA
"420",NA
"421",NA
"422",-1
"423",NA
"424",-1
"425",NA
"426",NA
"427",NA
"428",-1
"429",-1
"430",1
"431",NA
"432",NA
"433",NA
"434",NA
"435",-1
"436",NA
"437",0.6
"438",NA
"439",NA
"440",NA
"441",-0.666666666666667
"442",1
"443",NA
"444",NA
"445",NA
"446",NA
"447",NA
"448",NA
"449",NA
"450",NA
"451",NA
"452",NA
"453",NA
"454",NA
"455",-1
"456",NA
"457",0
"458",NA
"459",NA
"460",NA
"461",NA
"462",NA
"463",NA
"464",NA
"465",1
"466",NA
"467",NA
"468",NA
"469",NA
"470",NA
"471",NA
"472",-1
"473",NA
"474",NA
"475",NA
"476",NA
"477",NA
"478",NA
"479",NA
"480",1
"481",-0.333333333333333
"482",NA
"483",NA
"484",-1
"485",NA
"486",NA
"487",NA
"488",NA
"489",NA
"490",NA
"491",NA
"492",NA
"493",NA
"494",1
"495",NA
"496",NA
"497",NA
"498",NA
"499",NA
"500",NA
"501",NA
"502",NA
"503",1
"504",NA
"505",NA
"506",NA
"507",NA
"508",NA
"509",NA
"510",NA
"511",NA
"512",NA
"513",NA
"514",NA
"515",NA
"516",NA
"517",NA
"518",NA
"519",NA
"520",1
"521",NA
"522",1
"523",NA
"524",NA
"525",NA
"526",1
"527",NA
"528",NA
"529",NA
"530",NA
"531",NA
"532",1
"533",1
"534",NA
"535",NA
"536",NA
"537",1
"538",0
"539",NA
"540",-1
"541",-1
"542",NA
"543",1
"544",0
"545",NA
"546",NA
"547",-1
"548",-1
"549",1
"550",1
"551",1
"552",NA
"553",NA
"554",NA
"555",1
"556",NA
"557",NA
"558",NA
"559",NA
"560",NA
"561",0.333333333333333
"562",0.333333333333333
"563",1
"564",NA
"565",NA
"566",NA
"567",NA
"568",-1
"569",1
"570",1
"571",-0.2
"572",NA
"573",NA
"574",NA
"575",NA
"576",NA
"577",1
"578",NA
"579",NA
"580",1
"581",-1
"582",0.333333333333333
"583",0
"584",1
"585",1
"586",NA
"587",1
"588",NA
"589",NA
"590",-0.333333333333333
"591",-0.333333333333333
"592",0.5
"593",-1
"594",NA
"595",-1
"596",-1
"597",1
"598",NA
"599",1
"600",NA
"601",NA
"602",1
"603",1
"604",-1
"605",NA
"606",0
"607",NA
"608",0.2
"609",NA
"610",-1
"611",NA
"612",1
"613",0.5
"614",NA
"615",0
"616",NA
"617",-0.5
"618",-0.6
"619",NA
"620",-0.5
"621",0
"622",NA
"623",NA
"624",NA
"625",NA
"626",0
"627",NA
"628",NA
"629",1
"630",1
"631",NA
"632",NA
"633",NA
"634",NA
"635",1
"636",1
"637",0.333333333333333
"638",NA
"639",NA
"640",1
"641",1
"642",NA
"643",0
"644",0.5
"645",1
"646",1
"647",NA
"648",NA
"649",NA
"650",1
"651",NA
"652",NA
"653",NA
"654",NA
"655",NA
"656",1
"657",1
"658",NA
"659",1
"660",NA
"661",1
"662",1
"663",-1
"664",0.25
"665",NA
"666",NA
"667",NA
"668",NA
"669",NA
"670",NA
"671",NA
"672",NA
"673",NA
"674",0
"675",0
"676",NA
"677",-1
"678",NA
"679",NA
"680",NA
"681",NA
"682",1
"683",-0.666666666666667
"684",NA
"685",NA
"686",NA
"687",NA
"688",-1
"689",NA
"690",NA
"691",-1
"692",1
"693",-1
"694",NA
"695",NA
"696",1
"697",1
"698",NA
"699",NA
"700",-1
"701",NA
"702",-1
"703",0.333333333333333
"704",NA
"705",NA
"706",-1
"707",NA
"708",NA
"709",NA
"710",NA
"711",-1
"712",NA
"713",NA
"714",NA
"715",NA
"716",NA
"717",NA
"718",NA
"719",NA
"720",0
"721",NA
"722",NA
"723",NA
"724",NA
"725",NA
"726",NA
"727",NA
"728",NA
"729",NA
"730",NA
"731",1
"732",NA
"733",NA
"734",NA
"735",NA
"736",NA
"737",NA
"738",NA
"739",NA
"740",NA
"741",NA
"742",NA
"743",NA
"744",NA
"745",-1
"746",-1
"747",NA
"748",NA
"749",NA
"750",NA
"751",NA
"752",NA
"753",-1
"754",NA
"755",NA
"756",0.6
"757",0.6
"758",NA
"759",NA
"760",0
"761",NA
"762",NA
"763",0.333333333333333
"764",NA
"765",0
"766",NA
"767",1
"768",1
"769",NA
"770",NA
"771",0.5
"772",0
"773",NA
"774",-1
"775",-1
"776",NA
"777",NA
"778",NA
"779",-1
"780",NA
"781",NA
"782",NA
"783",-1
"784",NA
"785",NA
"786",-1
"787",NA
"788",1
"789",NA
"790",NA
"791",NA
"792",1
"793",NA
"794",NA
"795",-1
"796",NA
"797",1
"798",1
"799",1
"800",NA
"801",NA
"802",1
"803",0
"804",NA
"805",-1
"806",NA
"807",NA
"808",NA
"809",NA
"810",NA
"811",NA
"812",NA
"813",NA
"814",NA
"815",NA
"816",1
"817",1
"818",1
"819",NA
"820",NA
"821",1
"822",NA
