,Spread Households,Spread Firms,Spread Banks,Spread Government,Tone_Household,Tone_Firms,Tone_Banks,Tone_Government,Periods,,,,,,,,,,,
1965-Q1,-2.9,-1.5,-1,-2.8,1,NA,0.4,1,Great Inflation,,,,,,,,,,,
1965-Q2,-2.1,-0.5,-0.7,-1.7,1,NA,-0.2,NA,Great Inflation,,,,,,,,,,,
1965-Q3,-1.9,-0.5,0,-1.1,1,1,1,NA,Great Inflation,,,,,,,,,,,
1965-Q4,-1.1,0,0.3,0.2,0.333333333,0.8,1,0,Great Inflation,,,,,,,,,,,
1966-Q1,-0.9,0,0.2,1.6,0.666666667,1,1,-0.666666667,Great Inflation,,,,,,,,,,,
1966-Q2,-0.7,0.2,0.4,2.5,-0.111111111,1,0.62962963,0,Great Inflation,,,,,,,,,,,
1966-Q3,-0.5,0.5,-1.2,3.6,-1,1,0.355555556,1,Great Inflation,,,,,,,,,,,
1966-Q4,-0.2,0.6,-0.8,3.6,0.538461539,0.875,0.633333333,-0.2,Great Inflation,,,,,,,,,,,
1967-Q1,-1.4,-0.8,0.8,3.5,0.333333333,1,0.52,0.083333333,Great Inflation,,,,,,,,,,,
1967-Q2,-1.5,-1.3,1.5,2.7,1,0.75,0.87755102,0.777777778,Great Inflation,,,,,,,,,,,
1967-Q3,-1.5,-1.3,3.4,1.3,0.5,0.7,0,0,Great Inflation,,,,,,,,,,,
1967-Q4,-1.5,-1.2,3.5,0.7,0.333333333,0.2,0.222222222,-1,Great Inflation,,,,,,,,,,,
1968-Q1,-0.3,1,2.4,1.7,0.4,1,-0.333333333,-0.6,Great Inflation,,,,,,,,,,,
1968-Q2,0.1,1.4,2.8,1.7,0.708333333,1,-0.040816327,-0.642857143,Great Inflation,,,,,,,,,,,
1968-Q3,0.5,2.1,3.2,1.9,0.613333333,0.777777778,-0.020408163,0,Great Inflation,,,,,,,,,,,
1968-Q4,0.7,2.5,4.5,1.7,1,0,-0.642857143,1,Great Inflation,,,,,,,,,,,
1969-Q1,-0.4,1.8,4.3,0.7,0.0625,1,0.8,0.507936508,Great Inflation,,,,,,,,,,,
1969-Q2,0,1.9,1.6,1.1,0.100529101,0.333333333,0.5,-1,Great Inflation,,,,,,,,,,,
1969-Q3,0.2,1.1,1,1.3,1,0,0.2,1,Great Inflation,,,,,,,,,,,
1969-Q4,0.5,1.2,-0.6,1,0.03030303,0.2,1,0.333333333,Great Inflation,,,,,,,,,,,
1970-Q1,-0.1,0.8,0.3,1.3,0.1,0.444444444,-0.2,-0.033333333,Great Inflation,,,,,,,,,,,
1970-Q2,0.5,1.2,-1.1,0.4,-0.333333333,-0.008333333,-0.041666667,0,Great Inflation,,,,,,,,,,,
1970-Q3,0.4,0.6,1.4,-0.2,0.4,0.166666667,1,0.25,Great Inflation,,,,,,,,,,,
1970-Q4,0.2,0.9,4,0.5,0.177777778,0,0.142857143,0.5,Great Inflation,,,,,,,,,,,
1971-Q1,1.3,2.6,5.8,0.5,0.090909091,0.625,0.690476191,1,Great Inflation,,,,,,,,,,,
1971-Q2,0,2.2,5.9,-0.2,0.414814815,0.6,-0.047619048,-0.333333333,Great Inflation,,,,,,,,,,,
1971-Q3,-0.4,1.8,3.5,-0.6,0.8,-0.111111111,NA,-1,Great Inflation,,,,,,,,,,,
1971-Q4,-1.3,1.4,3.2,-1.3,-0.5,0.093333333,0.272727273,-0.75,Great Inflation,,,,,,,,,,,
1972-Q1,-1.5,2.1,3.4,-0.6,-0.052380952,0.155555556,0.6,0.142857143,Great Inflation,,,,,,,,,,,
1972-Q2,-1.5,1.6,2.2,-0.4,0.272222222,0.61038961,1,-0.111111111,Great Inflation,,,,,,,,,,,
1972-Q3,-1.8,1.3,2,-1.7,0.047619048,0.333333333,0.333333333,-0.5,Great Inflation,,,,,,,,,,,
1972-Q4,-0.8,1.9,3.4,-0.6,0.4,0.7,0.75,-0.6,Great Inflation,,,,,,,,,,,
1973-Q1,0.1,2.3,0.9,-0.4,0.626262626,-0.5,0.428571429,0.8,Great Inflation,,,,,,,,,,,
1973-Q2,1.2,3.6,1.4,0.9,0.678571429,0.2,0.733333333,-0.833333333,Great Inflation,,,,,,,,,,,
1973-Q3,1.3,3.4,1.8,2.6,0.083333333,0.190476191,-0.296296296,0,Great Inflation,,,,,,,,,,,
1973-Q4,3,4.6,2,4.9,-0.52,0.305555556,0.619047619,1,Great Inflation,,,,,,,,,,,
1974-Q1,4.6,6.8,5.7,7.1,0.616666667,-0.055555556,-0.5,0,Great Inflation,,,,,,,,,,,
1974-Q2,4.6,6.3,4.2,7.8,0.351111111,-0.425925926,0.555555556,-0.416666667,Great Inflation,,,,,,,,,,,
1974-Q3,4.8,6.5,3.9,9.3,-0.155555556,0.313131313,0.277777778,0.224489796,Great Inflation,,,,,,,,,,,
1974-Q4,6.5,8.2,9.6,10.7,0.095238095,0.375,0.066666667,0,Great Inflation,,,,,,,,,,,
1975-Q1,6.1,8.5,12.3,9,-0.006666667,-0.421212121,0.573333333,-0.133333333,Great Inflation,,,,,,,,,,,
1975-Q2,4.8,8.2,11.6,6.2,0.236639119,-0.75,0,-0.875,Great Inflation,,,,,,,,,,,
1975-Q3,4,7.2,10.5,5.4,0.297777778,0.266666667,0.55,-0.46031746,Great Inflation,,,,,,,,,,,
1975-Q4,1.9,5.4,9.3,3.5,0,-0.142857143,0.196969697,-0.727777778,Great Inflation,,,,,,,,,,,
1976-Q1,1.3,6.2,8.1,2,-0.133333333,0.25,0.375,0.466666667,Great Inflation,,,,,,,,,,,
1976-Q2,0.7,5.3,6,1.8,0.511111111,0.916666667,-0.2,-0.041666667,Great Inflation,,,,,,,,,,,
1976-Q3,-0.4,3.6,6.6,0.5,0.314285714,0.333333333,-0.333333333,0,Great Inflation,,,,,,,,,,,
1976-Q4,-0.7,3.2,6.2,0.6,0,-0.5,0.555555556,1,Great Inflation,,,,,,,,,,,
1977-Q1,0.2,4.4,5.7,1.9,0,0.071428571,0.6,0,Great Inflation,,,,,,,,,,,
1977-Q2,1.1,6.5,6.9,3.4,0.256410256,0.5,0.083333333,-1,Great Inflation,,,,,,,,,,,
1977-Q3,1.1,6.2,5.7,3.1,-0.233333333,NA,-1,0.333333333,Great Inflation,,,,,,,,,,,
1977-Q4,0.5,5.4,4.7,2.5,0.015151515,0.333333333,0.8,-0.066666667,Great Inflation,,,,,,,,,,,
1978-Q1,0.1,4.5,4.8,2.2,0.619047619,0.153846154,0.6,-0.6,Great Inflation,,,,,,,,,,,
1978-Q2,0.5,5,5,2.7,-0.06031746,-0.068181818,0.777777778,-0.688888889,Great Inflation,,,,,,,,,,,
1978-Q3,1.4,5.2,6.8,4,0.077777778,0.322222222,0.333333333,-0.6,Great Inflation,,,,,,,,,,,
1978-Q4,2.5,5.4,6.8,5.1,0.047301587,-0.37037037,-0.25,-0.654761905,Great Inflation,,,,,,,,,,,
1979-Q1,3.2,5.7,9.1,5.9,0.401785714,0.190476191,-0.076530612,-0.2,Great Inflation,,,,,,,,,,,
1979-Q2,3.3,6.2,10.1,7,0.666666667,-0.666666667,-0.307692308,-0.555555556,Great Inflation,,,,,,,,,,,
1979-Q3,4.3,7.4,10.7,8.4,-0.166666667,-0.222222222,0.333333333,-0.652777778,Great Inflation,,,,,,,,,,,
1979-Q4,3.6,5.5,10.5,8.3,0.145833333,0,0.003663004,-0.075,Great Inflation,,,,,,,,,,,
1980-Q1,3.6,6.5,8.8,9.4,0.060606061,0,0.327272727,0,Great Inflation,,,,,,,,,,,
1980-Q2,6.2,6.2,17.3,11.3,-0.115942029,-0.428571429,-0.136904762,-0.296296296,Great Inflation,,,,,,,,,,,
1980-Q3,3.9,8.8,13.4,8.5,0.287179487,-0.046886447,-0.2,0.033333333,Great Inflation,,,,,,,,,,,
1980-Q4,2.3,4.1,5.6,7.1,0.25,0.785714286,-0.406060606,0.25,Great Inflation,,,,,,,,,,,
1981-Q1,0.1,0.2,7.9,4.3,-0.476190476,0.444444444,-0.121212121,-0.666666667,Great Inflation,,,,,,,,,,,
1981-Q2,-3,-1.1,0.1,2,0.2,0.363636364,-0.395454546,-0.416666667,Great Inflation,,,,,,,,,,,
1981-Q3,-3,-0.8,3,2.6,-0.12,-0.523809524,0.2,-0.222222222,Great Inflation,,,,,,,,,,,
1981-Q4,-3.9,-0.6,4,1.7,0.35,-0.818181818,-0.520833333,-0.486742424,Great Inflation,,,,,,,,,,,
1982-Q1,-7.1,-3.9,-2.7,-1.5,-0.114285714,0.5,-0.523809524,-0.357142857,Great Inflation,,,,,,,,,,,
1982-Q2,-7.4,-5.7,-3.7,-2.3,-0.251851852,0.5,0.055555556,0.142857143,Great Inflation,,,,,,,,,,,
1982-Q3,-7.5,-6,0,-2.7,0.2,-0.066666667,-0.30248366,-0.714285714,Great Inflation,,,,,,,,,,,
1982-Q4,-6.8,-5.3,-0.4,-2.1,-0.333333333,1,0.727272727,-0.366666667,Great Inflation,,,,,,,,,,,
1983-Q1,-6.7,-5,0,-3.3,-0.027777778,0.555555556,0,-1,Great Moderation,,,,,,,,,,,
1983-Q2,-6.5,-4.6,0.8,-3.8,0.5,0.185185185,0.666666667,-1,Great Moderation,,,,,,,,,,,
1983-Q3,-8.2,-5.4,-1.6,-5.9,0.5,1,0.833333333,0.555555556,Great Moderation,,,,,,,,,,,
1983-Q4,-7.1,-3.6,-2.1,-5.2,0.333333333,0.866666667,0.024242424,0.271428571,Great Moderation,,,,,,,,,,,
1984-Q1,-5.8,-1.3,-1.6,-3.8,0.236111111,0.333333333,0.703703704,-0.415018315,Great Moderation,,,,,,,,,,,
1984-Q2,-7.5,-3.1,-4.3,-5.4,0.296825397,0.777777778,0.541396104,-0.378446115,Great Moderation,,,,,,,,,,,
1984-Q3,-7.5,-4.3,-4.1,-5.3,0,-1,0.166666667,-1,Great Moderation,,,,,,,,,,,
