"","Speech_Id","Tone_Household","Tone_Firms","Tone_Banks","Tone_Government"
"1","Johnson, Manuel H.1986-04-26",NA,NA,-1,NA
"2","Johnson, Manuel H.1986-06-04",NA,NA,NA,NA
"3","Johnson, Manuel H.1986-06-04",NA,0,NA,NA
"4","Johnson, Manuel H.1986-06-17",NA,NA,-0.2,NA
"5","Johnson, Manuel H.1986-09-17",NA,NA,NA,-1
"6","Johnson, Manuel H.1986-11-19",NA,NA,0.25,NA
"7","Johnson, Manuel H.1987-02-23",-1,-1,NA,-0.5
"8","Johnson, Manuel H.1987-03-05",-1,-1,1,-1
"9","Johnson, Manuel H.1987-03-24",NA,NA,1,NA
"10","Johnson, Manuel H.1987-04-27",-1,NA,NA,NA
"11","Johnson, Manuel H.1987-05-21",NA,NA,-0.5,NA
"12","Johnson, Manuel H.1987-10-15",1,NA,NA,0
"13","Johnson, Manuel H.1987-11-16",NA,NA,-0.666666666666667,NA
"14","Johnson, Manuel H.1988-02-25",NA,NA,NA,NA
"15","Johnson, Manuel H.1988-03-09",-1,NA,NA,NA
"16","Johnson, Manuel H.1988-03-15",1,-1,-1,NA
"17","Johnson, Manuel H.1988-04-19",NA,NA,0.5,NA
"18","Johnson, Manuel H.1988-05-05",NA,1,NA,0
"19","Johnson, Manuel H.1988-05-26",NA,NA,-1,NA
"20","Johnson, Manuel H.1988-06-11",NA,NA,NA,-0.333333333333333
"21","Johnson, Manuel H.1988-09-08",1,NA,1,NA
"22","Johnson, Manuel H.1988-11-16",NA,NA,1,NA
"23","Johnson, Manuel H.1988-11-18",NA,NA,NA,0
"24","Johnson, Manuel H.1989-01-05",NA,NA,-1,-1
"25","Johnson, Manuel H.1989-01-25",1,-1,NA,-0.333333333333333
"26","Johnson, Manuel H.1989-02-28",NA,0.6,NA,NA
"27","Johnson, Manuel H.1989-04-14",NA,NA,NA,NA
"28","Johnson, Manuel H.1989-04-27",1,-1,NA,-0.333333333333333
"29","Johnson, Manuel H.1989-05-04",NA,NA,-0.25,NA
"30","Johnson, Manuel H.1989-06-06",1,NA,NA,-0.333333333333333
"31","Johnson, Manuel H.1989-06-26",NA,NA,NA,-1
"32","Johnson, Manuel H.1989-09-19",NA,NA,-1,NA
"33","Johnson, Manuel H.1989-09-26",NA,-1,1,NA
"34","Johnson, Manuel H.1989-10-12",1,NA,-1,NA
"35","Johnson, Manuel H.1989-10-25",NA,NA,-0.666666666666667,NA
"36","Johnson, Manuel H.1989-10-31",NA,NA,-1,NA
"37","Johnson, Manuel H.1989-11-16",NA,NA,-1,NA
"38","Johnson, Manuel H.1990-02-22",-1,NA,0.733333333333333,NA
"39","Johnson, Manuel H.1990-03-19",NA,-1,-1,NA
"40","Johnson, Manuel H.1990-04-04",NA,NA,-0.478260869565217,NA
"41","Johnson, Manuel H.1990-05-02",NA,NA,NA,NA
"42","Martin, Preston1982-05-26",NA,NA,-0.2,NA
"43","Martin, Preston1982-06-16",NA,NA,-0.333333333333333,NA
"44","Martin, Preston1982-07-15",NA,NA,0,NA
"45","Martin, Preston1982-09-13",-0.2,0.333333333333333,1,0
"46","Martin, Preston1982-09-16",NA,NA,-0.882352941176471,NA
"47","Martin, Preston1982-10-07",NA,NA,NA,NA
"48","Martin, Preston1982-11-09",0,1,1,NA
"49","Martin, Preston1982-11-19",NA,NA,0,NA
"50","Martin, Preston1982-12-09",NA,1,1,NA
"51","Martin, Preston1983-02-23",NA,NA,-1,NA
"52","Martin, Preston1983-03-17",NA,NA,1,NA
"53","Martin, Preston1983-05-10",1,0,NA,NA
"54","Martin, Preston1983-06-01",0.333333333333333,0,NA,NA
"55","Martin, Preston1983-06-11",NA,NA,0.5,NA
"56","Martin, Preston1983-07-14",1,NA,NA,NA
"57","Martin, Preston1983-09-22",1,NA,NA,NA
"58","Martin, Preston1983-09-28",-1,NA,1,NA
"59","Martin, Preston1983-10-13",NA,NA,NA,1
"60","Martin, Preston1983-12-09",NA,NA,1,NA
"61","Martin, Preston1984-01-10",-0.5,-1,NA,NA
"62","Martin, Preston1984-03-09",NA,NA,0,NA
"63","Martin, Preston1984-03-13",0.333333333333333,1,1,-1
"64","Martin, Preston1984-03-14",NA,NA,NA,-1
"65","Martin, Preston1984-04-04",NA,NA,NA,NA
"66","Martin, Preston1984-04-12",0.142857142857143,1,1,-1
"67","Martin, Preston1984-05-10",1,1,NA,1
"68","Martin, Preston1984-11-06",NA,1,1,0.2
"69","Martin, Preston1985-02-08",0.333333333333333,-1,NA,NA
"70","Martin, Preston1985-03-06",0.666666666666667,-1,NA,NA
"71","Martin, Preston1985-03-20",NA,NA,0,NA
"72","Martin, Preston1985-04-03",NA,NA,1,NA
"73","Martin, Preston1985-04-04",NA,1,-0.8,-1
"74","Martin, Preston1985-04-11",NA,NA,1,NA
"75","Martin, Preston1985-04-16",NA,1,-0.8,-1
"76","Martin, Preston1985-04-23",0.666666666666667,-1,NA,NA
"77","Martin, Preston1985-04-23",NA,NA,-1,-1
"78","Martin, Preston1985-05-02",-1,NA,NA,NA
"79","Martin, Preston1985-05-03",NA,1,-0.6,NA
"80","Martin, Preston1985-05-07",NA,NA,1,1
"81","Martin, Preston1985-05-08",0.5,-1,NA,-1
"82","Martin, Preston1985-05-22",NA,1,1,-0.142857142857143
"83","Martin, Preston1985-05-30",NA,NA,NA,NA
"84","Martin, Preston1985-06-04",NA,1,NA,NA
"85","Martin, Preston1985-07-18",-1,0,NA,0.5
"86","Martin, Preston1985-09-09",-1,1,NA,0.142857142857143
"87","Martin, Preston1985-09-11",NA,-0.333333333333333,1,NA
"88","Martin, Preston1985-10-10",NA,NA,-1,NA
"89","Martin, Preston1985-10-12",1,0,-1,-0.333333333333333
"90","Martin, Preston1985-10-15",1,0.333333333333333,-1,NA
"91","Martin, Preston1985-10-19",NA,NA,0.333333333333333,NA
"92","Martin, Preston1985-10-30",NA,-1,-0.333333333333333,NA
"93","Martin, Preston1985-12-03",1,-1,1,-0.555555555555556
"94","Martin, Preston1985-12-12",1,NA,0,NA
"95","Martin, Preston1986-02-05",NA,NA,0,-1
"96","Martin, Preston1986-03-05",1,NA,-0.333333333333333,-0.666666666666667
"97","Martin, Preston1986-03-11",NA,NA,0.333333333333333,1
"98","Martin, Preston1986-03-19",NA,NA,1,-0.2
"99","Martin, Preston1986-04-09",NA,NA,-0.333333333333333,NA
"100","Mullins, David W.1991-09-04",NA,NA,NA,-1
